condition,model,n_stations,n_horizons,n_cells,median_skill,median_phi,median_r,median_beta,median_kge,delta_skill_vs_lag_only,delta_phi_vs_lag_only,delta_r_vs_lag_only,delta_beta_vs_lag_only,delta_kge_vs_lag_only
lag_only,xgboost_direct,8,4,32,0.24931656732719976,0.6390921582811802,0.34873828132194673,1.0524987020185563,0.24310029734858057,0.0,0.0,0.0,0.0,0.0
lag_plus_met_all,xgboost_direct,8,4,32,0.27313631576560127,0.6750344933911799,0.4227276351582423,1.0424026419776613,0.3303248356146771,0.02381974843840151,0.03594233510999978,0.07398935383629557,-0.010096060040895027,0.08722453826609655
lag_plus_rh,xgboost_direct,8,4,32,0.264226209625378,0.5013170129796508,0.37375669579188403,1.069150302055382,0.1907634012921376,0.01490964229817826,-0.13777514530152934,0.0250184144699373,0.016651600036825753,-0.05233689605644298
lag_plus_temp,xgboost_direct,8,4,32,0.26572988476607146,0.5091336057928066,0.37305955894735265,1.0705606138191714,0.18557739897019981,0.0164133174388717,-0.1299585524883735,0.024321277625405924,0.018061911800615116,-0.05752289837838076
lag_plus_wind,xgboost_direct,8,4,32,0.2675388830708254,0.5275455447806664,0.3733254755523372,1.068597658192922,0.1960112219940935,0.01822231574362565,-0.11154661350051376,0.024587194230390463,0.01609895617436563,-0.04708907535448709
