station,station_key,horizon,p,rho1,rho_h,ar1_reference_skill,ar1_status,yw_linear_reference_skill,yw_mse,yw_rmse,gamma0,persistence_mse,persistence_rmse,valid_pair_count_rho_h,min_valid_pair_count_required_lags,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_number,covariance_psd_status,regularization_applied,numerical_status,rho1_control_value,rho1_diff_from_control,notes,hgb_direct_skill,ridge_direct_skill,sarima_skill,seasonal_naive_skill,stl_ridge_direct_skill,best_model_skill,best_model_name,skill_definition
Elche,elche,1,14,0.5244693583011757,0.5244693583011757,0.103856457765517,DIAGNOSTIC_ONLY,0.11227499379359818,117.97144143619585,10.861465897207239,165.83566301493892,149.6993720565149,12.235169473959685,2211,2009,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.0545432047835262,0.1068243052570685,-0.0460140053356599,-0.5820662647666237,-1.28855624225073,0.1068243052570685,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Elche,elche,2,14,0.5244693583011757,0.20794535158708014,0.2376271796386873,DIAGNOSTIC_ONLY,0.2286460590641607,156.92101802578267,12.526811965770968,165.83566301493892,263.7386091127098,16.240031068711346,2167,1989,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.2074180430237674,0.2264146319696041,-0.0070258483928693,-0.1912908811513025,-0.747120424710628,0.2264146319696041,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Elche,elche,3,14,0.5244693583011757,0.11212599228567825,0.264295960185289,DIAGNOSTIC_ONLY,0.26563234868128227,161.79483810870812,12.719859987779273,165.83566301493892,300.0112812248187,17.320833733536578,2118,1989,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.2358890778091833,0.2578848238331962,0.2339225517747595,-0.1141022420372301,-0.6248225401105085,0.2578848238331962,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Elche,elche,4,14,0.5244693583011757,0.07340960501256288,0.2822189573387709,DIAGNOSTIC_ONLY,0.2866022267576597,162.87861421408752,12.762390615166405,165.83566301493892,320.0372771474878,17.88958571760363,2098,1980,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.2421463973791151,0.2715063488548955,0.2479131466958791,-0.0732680967064896,-0.5566452254443988,0.2715063488548955,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Elche,elche,5,14,0.5244693583011757,0.04565775883611058,0.2893975662296614,DIAGNOSTIC_ONLY,0.29391060529083246,163.47806911151193,12.785854258183608,165.83566301493892,327.8990228013029,18.1079822951455,2070,1976,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.2536119461106551,0.2781987813347364,0.127818294381531,-0.0561755911083006,-0.5291724152501194,0.2781987813347364,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Elche,elche,6,14,0.5244693583011757,0.050470745419462074,0.2883826650068477,DIAGNOSTIC_ONLY,0.2931565023001217,163.54725952096277,12.78855971253068,165.83566301493892,327.3382352941176,18.092491130137873,2065,1970,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.2508762662428327,0.2800379270533902,0.08973280811703,-0.0173186221478531,-0.4975317643858783,0.2800379270533902,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Elche,elche,7,14,0.5244693583011757,0.028207667012711143,0.2771316876771531,DIAGNOSTIC_ONLY,0.2817119068768186,163.72128453755388,12.795361836913948,165.83566301493892,317.3275720164609,17.813690578217106,2054,1969,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK,0.511,0.013469358301175682,,0.2378516414402605,0.2717268157502217,0.2217535084576362,0.0,-0.4921674853675131,0.2717268157502217,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Valencia Vivers,valencia_vivers,1,14,0.6057131679804734,0.6057131679804734,0.15231687770651858,DIAGNOSTIC_ONLY,0.16224879717628327,59.60784880455719,7.720611944953404,96.39625438951792,84.93238674780257,9.215876884366597,2563,2462,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.0737028562176991,0.0954615809187324,-0.0003945639331983,-0.4438639354608544,-1.8736892893431936,0.0954615809187324,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Valencia Vivers,valencia_vivers,2,14,0.6057131679804734,0.3756905360403583,0.2255443799483815,DIAGNOSTIC_ONLY,0.24280837173558412,79.74289683610145,8.929887840062799,96.39625438951792,139.08503401360545,11.793431816634438,2557,2461,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.1774493329506257,0.1751919655401376,0.0834838533052333,-0.1360530432519417,-1.2860808095729626,0.1774493329506257,hgb_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Valencia Vivers,valencia_vivers,3,14,0.6057131679804734,0.29379864047857696,0.24089003933753272,DIAGNOSTIC_ONLY,0.26964125389897453,84.82571815454818,9.210087847276387,96.39625438951792,159.02121834360028,12.610361546902622,2529,2458,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.1936365310565044,0.2036271928039161,0.0721950437874847,-0.0674372924665198,-1.1474680904284966,0.2036271928039161,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
