station,horizon,lag,valid_pairs
Valencia Vivers,6,2,2557
Valencia Vivers,6,3,2529
Valencia Vivers,6,4,2518
Valencia Vivers,6,5,2497
Valencia Vivers,6,6,2499
Valencia Vivers,6,7,2489
Valencia Vivers,6,8,2482
Valencia Vivers,6,9,2474
Valencia Vivers,6,10,2477
Valencia Vivers,6,11,2472
Valencia Vivers,6,12,2465
Valencia Vivers,6,13,2467
Valencia Vivers,6,14,2462
Valencia Vivers,6,15,2461
Valencia Vivers,6,16,2458
Valencia Vivers,6,17,2459
Valencia Vivers,6,18,2455
Valencia Vivers,6,19,2454
Valencia Vivers,7,0,2679
Valencia Vivers,7,1,2563
Valencia Vivers,7,2,2557
Valencia Vivers,7,3,2529
Valencia Vivers,7,4,2518
Valencia Vivers,7,5,2497
Valencia Vivers,7,6,2499
Valencia Vivers,7,7,2489
Valencia Vivers,7,8,2482
Valencia Vivers,7,9,2474
Valencia Vivers,7,10,2477
Valencia Vivers,7,11,2472
Valencia Vivers,7,12,2465
Valencia Vivers,7,13,2467
Valencia Vivers,7,14,2462
Valencia Vivers,7,15,2461
Valencia Vivers,7,16,2458
Valencia Vivers,7,17,2459
Valencia Vivers,7,18,2455
Valencia Vivers,7,19,2454
Valencia Vivers,7,20,2452
Zarra EMEP,1,0,2804
Zarra EMEP,1,1,2738
Zarra EMEP,1,2,2734
Zarra EMEP,1,3,2732
Zarra EMEP,1,4,2731
Zarra EMEP,1,5,2728
Zarra EMEP,1,6,2725
Zarra EMEP,1,7,2724
Zarra EMEP,1,8,2720
Zarra EMEP,1,9,2718
Zarra EMEP,1,10,2718
Zarra EMEP,1,11,2716
Zarra EMEP,1,12,2712
Zarra EMEP,1,13,2712
Zarra EMEP,1,14,2708
Zarra EMEP,2,0,2804
Zarra EMEP,2,1,2738
Zarra EMEP,2,2,2734
Zarra EMEP,2,3,2732
Zarra EMEP,2,4,2731
Zarra EMEP,2,5,2728
Zarra EMEP,2,6,2725
Zarra EMEP,2,7,2724
Zarra EMEP,2,8,2720
Zarra EMEP,2,9,2718
Zarra EMEP,2,10,2718
Zarra EMEP,2,11,2716
Zarra EMEP,2,12,2712
Zarra EMEP,2,13,2712
Zarra EMEP,2,14,2708
Zarra EMEP,2,15,2707
Zarra EMEP,3,0,2804
Zarra EMEP,3,1,2738
Zarra EMEP,3,2,2734
Zarra EMEP,3,3,2732
Zarra EMEP,3,4,2731
Zarra EMEP,3,5,2728
Zarra EMEP,3,6,2725
Zarra EMEP,3,7,2724
Zarra EMEP,3,8,2720
Zarra EMEP,3,9,2718
Zarra EMEP,3,10,2718
Zarra EMEP,3,11,2716
