model_family,n_cells,median_skill,median_alpha,median_skill_vp,collapse_pct,near_retained_pct,inflation_pct,positive_skill_pct,sig_improvement_pct
Direct ML,238,0.2090747478784755,0.1226067687430282,0.0260152816924368,99.15966386554622,0.0,0.0,100.0,95.7983193277311
Decomposition + Ridge,119,-1.1071900799370795,1.3986628282688447,-1.4871319675602417,0.0,0.0,29.411764705882355,0.0,100.0
Statistical baseline,119,0.2076539480198088,0.0951125746527263,0.0176933129862953,92.43697478991596,0.0,0.0,97.47899159663865,36.97478991596639
Variance-preserving naive,119,-0.0261561623455426,0.9997813584215014,-0.0260838625897782,0.0,16.80672268907563,0.0,16.80672268907563,32.773109243697476
