dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag
e1_rr_08019045_10_M,hgb_direct,1,1486,0.0981343420721223,0.0648147981309918,0.4360918645718678,0.35176247221079804,0.5298781065139108,0.04279558821276531,True,False,False,False
e1_rr_08019045_10_M,hgb_direct,2,1476,0.1507049702509407,0.1345487266764223,0.22638605171110457,0.18057036177887145,0.28169023778523083,0.03411750318834994,True,False,False,False
e1_rr_08019045_10_M,hgb_direct,3,1467,0.1821960317857415,0.156394498492723,0.14438599221895818,0.11430329459244394,0.1840324582565714,0.02630655482774113,True,False,False,False
e1_rr_08019045_10_M,hgb_direct,4,1459,0.2167163652989592,0.1914457973283838,0.09549311102936248,0.07558698041171552,0.11906072456602579,0.020694919933373388,True,False,False,False
e1_rr_08019045_10_M,hgb_direct,5,1454,0.2181701627557102,0.1970116536365469,0.08907194638943425,0.07164901325465553,0.11172147854664075,0.019432841040750763,True,False,False,False
e1_rr_08019045_10_M,hgb_direct,6,1451,0.2119144262615816,0.1822374295541527,0.08101390614558482,0.06565879926135407,0.09915710380402715,0.017168015440051226,True,False,False,False
e1_rr_08019045_10_M,hgb_direct,7,1447,0.2070338077574712,0.1737863908797117,0.07911060162721154,0.06403392489302598,0.09742843997905823,0.016378569088866004,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,1,1486,0.0941855775586321,0.0723799475184064,0.44339005632066175,0.33929927630132,0.5793091996237094,0.041760948538315946,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,2,1476,0.1609789723725999,0.1445649526167536,0.17634456097684412,0.1308285053911489,0.23016770263252898,0.028387766209549647,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,3,1467,0.2035490639221941,0.1758641196945819,0.08475862912913655,0.0657766840572084,0.10845473405257368,0.01725253961856416,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,4,1459,0.2360155704601227,0.2144438700517079,0.04766881675416533,0.03798516940684327,0.05952018877492473,0.011250582979393384,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,5,1454,0.2413268123381637,0.2218807673748132,0.043260571486302524,0.034177625237220156,0.05455107713447621,0.010439935816716645,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,6,1451,0.2358624863847505,0.2115094316942306,0.03682358964882066,0.029347461402448247,0.04611324398875409,0.008685303412182602,True,False,False,False
e1_rr_08019045_10_M,ridge_direct,7,1447,0.2329908239005792,0.2047108981047585,0.03395511039421237,0.027057473426831333,0.04261706865596385,0.00791122914638266,True,False,False,False
e1_rr_08019045_10_M,sarima,1,170,0.152067846604338,0.0435699774968315,0.7606391377573289,0.3199198520390021,1.662071015602453,0.11566875572173742,False,False,False,False
e1_rr_08019045_10_M,sarima,2,166,0.2279081871399637,0.1165709933049941,0.2933102725800243,0.09876421625980618,0.7925739538165246,0.06684781249324194,True,False,False,False
e1_rr_08019045_10_M,sarima,3,167,0.3007737474075614,0.1742267524220502,0.17065558224454738,0.0895279763245953,0.34316403259681133,0.05132871898771182,True,False,False,False
e1_rr_08019045_10_M,sarima,4,168,0.3269467632766175,0.1894174790512893,0.0797308475249661,0.045784129765717045,0.14606255793778974,0.026067742531589177,True,False,False,False
e1_rr_08019045_10_M,sarima,5,169,0.3685045295534584,0.2525272964494319,0.06715740414301812,0.043516016058792316,0.1042662600682388,0.02474780761975437,True,False,False,False
e1_rr_08019045_10_M,sarima,6,170,0.2941841202772949,0.2174316058352218,0.04896737294453697,0.02921554012259736,0.07826855909790138,0.014405423531978821,True,False,False,False
e1_rr_08019045_10_M,sarima,7,170,0.2974094654665165,0.161755793760071,0.019899432345612415,0.012432421130335637,0.031708725271700204,0.005918279536995696,True,False,False,False
e1_rr_08019045_10_M,seasonal_naive,1,1486,-0.4576093599344706,-0.5879205102236336,0.970720929782561,0.7277860995264345,1.2838970974458488,-0.4442109833527919,False,False,False,False
e1_rr_08019045_10_M,seasonal_naive,2,1476,-0.1754867510055717,-0.192098500407666,0.9794323854265085,0.7309223458868779,1.2935503531726675,-0.17187740714813482,False,False,False,False
e1_rr_08019045_10_M,seasonal_naive,3,1467,-0.0636489062014111,-0.0726697670936771,0.9757033615661311,0.7237288174578951,1.2893383544716743,-0.06210245174072418,False,False,False,False
e1_rr_08019045_10_M,seasonal_naive,4,1459,0.000513310917791,0.002256920050583,0.9748072326737028,0.7201360406857972,1.2801427890335717,0.0005003791952730433,False,False,True,False
e1_rr_08019045_10_M,seasonal_naive,5,1454,0.0096181391011882,0.0234296031999723,0.9818523299688944,0.7358572457139864,1.30334233865694,0.009443592286466561,False,False,True,False
e1_rr_08019045_10_M,seasonal_naive,6,1451,0.0057623139017154,0.0111527410240955,0.9607184802411153,0.7244321253827576,1.2996289610764957,0.00553596145432827,False,False,True,False
e1_rr_08019045_10_M,seasonal_naive,7,1447,0.0,0.0,0.9767204926369416,0.7406577899725629,1.3044945049385805,0.0,False,False,False,False
e1_rr_08019045_10_M,stl_ridge_direct,1,1486,-2.0510811305465904,-3.3562576569765596,1.690872896533437,1.3248643918671625,2.091464597299169,-3.46811749223239,False,True,False,False
e1_rr_08019045_10_M,stl_ridge_direct,2,1476,-1.486377026514044,-2.3129556865726046,1.488918527754045,1.1592874834535478,1.8975393091419115,-2.2130942940047253,False,False,False,False
e1_rr_08019045_10_M,stl_ridge_direct,3,1467,-1.259809414325558,-1.996955679818485,1.3982542231729098,1.0851637650717416,1.7800756259755723,-1.7615338339737017,False,False,False,False
e1_rr_08019045_10_M,stl_ridge_direct,4,1459,-1.1244847357631755,-1.7978436389014787,1.341194188461469,1.0238971017369152,1.7094378332205629,-1.5081523926192018,False,False,False,False
e1_rr_08019045_10_M,stl_ridge_direct,5,1454,-1.102560533528839,-1.752373694310042,1.3119822232464655,1.0031010344995397,1.7037191423111213,-1.4465398200429755,False,False,False,False
e1_rr_08019045_10_M,stl_ridge_direct,6,1451,-1.0969200028271249,-1.7770469793924455,1.2320718869299625,0.9420966612190994,1.6179981564299357,-1.3514842976944355,False,False,False,False
e1_rr_08019045_10_M,stl_ridge_direct,7,1447,-1.1140258564241523,-1.814980919669016,1.2289068855444327,0.9371431988321862,1.6313333531082344,-1.3690340456341743,False,False,False,False
