dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag
e1_rr_daily,hgb_direct,1,1274,0.0545432047835262,0.0307519963616089,0.29809320356169733,0.1884424537123804,0.48619308708578834,0.016258958646443018,True,False,False,False
e1_rr_daily,hgb_direct,2,1251,0.2074180430237674,0.1405576467484952,0.16370447877143718,0.1040902626227652,0.27101888595197277,0.03395526262099737,True,False,False,False
e1_rr_daily,hgb_direct,3,1241,0.2358890778091833,0.185704695020168,0.12959247547764516,0.08086875143899844,0.21973956694451946,0.03056944953143092,True,False,False,False
e1_rr_daily,hgb_direct,4,1234,0.2421463973791151,0.1903690953316565,0.11941460010587358,0.07576413501360674,0.20399759592832412,0.028915815210104986,True,False,False,False
e1_rr_daily,hgb_direct,5,1228,0.2536119461106551,0.2153576599538288,0.10400439782294463,0.066548586290539,0.17865946025040555,0.026376757735943765,True,False,False,False
e1_rr_daily,hgb_direct,6,1224,0.2508762662428327,0.2143140689968438,0.10127266388075863,0.06550375924600753,0.16983733941077186,0.02540690778687011,True,False,False,False
e1_rr_daily,hgb_direct,7,1215,0.2378516414402605,0.1874614703961721,0.10201020095952477,0.06408459645489781,0.17242039656785318,0.024263293741873804,True,False,False,False
e1_rr_daily,ridge_direct,1,1274,0.1068243052570685,0.0606217026697125,0.2648966469796901,0.1528093908207748,0.4680395826970427,0.02829740027853233,True,False,False,False
e1_rr_daily,ridge_direct,2,1251,0.2264146319696041,0.1745066859246035,0.07987487388350585,0.043489570167049525,0.14491691245783844,0.01808484017395252,True,False,False,False
e1_rr_daily,ridge_direct,3,1241,0.2578848238331962,0.2238600172752354,0.037166868674262395,0.02007831585841699,0.07190056495094847,0.009584771380493696,True,False,False,False
e1_rr_daily,ridge_direct,4,1234,0.2715063488548955,0.2422163820744006,0.023484153143012127,0.013147231249468552,0.044177320712641285,0.006376096675808441,True,False,False,False
e1_rr_daily,ridge_direct,5,1228,0.2781987813347364,0.2497286843660431,0.029058867145163546,0.016360378537495907,0.054316582398133785,0.00808414142675251,True,False,False,False
e1_rr_daily,ridge_direct,6,1224,0.2800379270533902,0.2613624587873081,0.036763455902558834,0.021789140380440247,0.06402119595462682,0.010295161982271298,True,False,False,False
e1_rr_daily,ridge_direct,7,1215,0.2717268157502217,0.2441776798139534,0.033059438989431734,0.019027243309320842,0.05882047916049543,0.008983136087087012,True,False,False,False
e1_rr_daily,sarima,1,136,-0.0460140053356599,0.0198270420151025,0.05179679427494965,0.023162570543142278,0.3484350166629408,-0.002383377968137611,True,False,False,False
e1_rr_daily,sarima,2,132,-0.0070258483928693,0.0941493883010384,0.030182183860621253,0.016101626466710872,0.0822796087643233,-0.00021205544797043156,True,False,False,False
e1_rr_daily,sarima,3,132,0.2339225517747595,0.2000327627116493,0.028385158746944028,0.017516689100985885,0.04979858339771275,0.006639928766616782,True,False,False,False
e1_rr_daily,sarima,4,134,0.2479131466958791,0.2371125556202226,0.011666688530863816,0.007351491953463016,0.018437469321254188,0.0028923254652071717,True,False,False,False
