model,model_family,n_cells,median_skill,median_alpha,collapsed_cells,collapse_rate_pct,retained_cells,retained_rate_pct,positive_skill_cells,positive_skill_rate_pct,near_ideal_cells,near_ideal_rate_pct,median_skill_vp,sig_imp_cells,ns_imp_cells,sig_deg_cells,median_exceedance_recall,median_csi,median_far,median_murphy_mse,median_murphy_bias_sq,median_murphy_cond_bias_sq,median_murphy_irreducible_sq
hgb_direct,Direct ML,119,0.2046229908886579,0.1506270846127895,118,99.15966386554622,0,0.0,119,100.0,0,0.0,0.0297745350250146,111,8,0,0.0335195530726257,0.12090680100755667,0.647398843930636,94.26446389478002,0.2917191043618247,2.8392665997644015,90.96561189344276
ridge_direct,Direct ML,119,0.2189869172535209,0.0874297364441652,118,99.15966386554622,0,0.0,119,100.0,0,0.0,0.0188608752488401,117,2,0,0.0245901639344262,0.10436432637571155,0.5952380952380953,90.05849016005322,0.2945897749564868,0.2381022960289943,88.87377539488831
sarima,Statistical baseline,119,0.2076539480198088,0.0951125746527263,110,92.43697478991596,0,0.0,116,97.47899159663865,0,0.0,0.0176933129862953,44,72,0,0.0,0.11764705882352935,0.5,82.77959927917337,0.2003368907814209,0.7535719685486738,80.1422804331321
seasonal_naive,Variance-preserving naive,119,-0.0261561623455426,0.9997813584215014,0,0.0,117,98.31932773109243,20,16.80672268907563,20,16.80672268907563,-0.0260838625897782,5,15,34,0.1757575757575757,0.11111111111111112,0.8218390804597702,163.75899938987186,0.0075738387634568,64.04066882015162,97.88400678573252
stl_ridge_direct,Decomposition + Ridge,119,-1.1071900799370795,1.3986628282688447,0,0.0,119,100.0,0,0.0,0,0.0,-1.4871319675602417,0,0,119,0.8947368421052632,0.104018874092279,0.8961038961038961,701.3793048625494,445.8632167323074,94.46697018091368,94.48902799730332
