quadrant,n_cells,pct_cells
positive skill + collapsed alpha,343,57.65
positive skill + near-retained alpha,20,3.36
positive skill + inflated alpha,0,0.0
non-positive skill + collapsed alpha,3,0.5
non-positive skill + near-retained alpha,101,16.97
non-positive skill + inflated alpha,115,19.33
