model_family,median_mse,median_bias_sq,median_cond_bias_sq,median_irreducible_sq,n_cells,bias_pct,cond_bias_pct,irreducible_pct
Direct ML,91.59848637217388,0.29202108054448445,1.3851340855756344,89.77789476683378,238,0.3193055831893005,1.5145517788149288,98.16614263799578
Decomposition + Ridge,701.3793048625494,445.8632167323074,94.46697018091368,94.48902799730332,119,70.23467567772823,14.880924830580069,14.8843994916917
Persistence baseline,146.03313953488373,0.0025382234975113,56.83142865141763,89.84057826473844,119,0.001730513972342355,38.74662000642755,61.2516494796001
Statistical baseline,82.77959927917337,0.2003368907814209,0.7535719685486738,80.1422804331321,119,0.24703613391614934,0.9292322797450083,98.82373158633884
Variance-preserving naive,163.75899938987186,0.0075738387634568,64.04066882015162,97.88400678573252,119,0.004677165165945356,39.547816472494745,60.44750636233932
