station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Birr co offlay,1,7.492135757529792,5.587881378456349,0.4695480108318173,0.3405537214752984,6.752772675007041,5.0488158441399715,0.5218957832874278,0.4041708128932388,-0.7393630825227513,-0.5390655343163777,0.05234777245561051,0.06361709141794042
Birr co offlay,2,6.695440910981485,4.982072653663663,0.5393113573841728,0.4247015208989912,6.388537323400884,4.643344243506104,0.5604282635082399,0.4638157516095059,-0.3069035875806012,-0.33872841015755917,0.021116906124067136,0.039114230710514675
Birr co offlay,3,6.084367364103568,4.587925115529019,0.5861330455845521,0.4680183329189481,5.831084265617057,4.333687048827961,0.6033617068902399,0.4974978878709903,-0.2532830984865111,-0.254238066701058,0.017228661305687787,0.029479554952042186
Birr co offlay,4,5.76773585548604,4.485794787059833,0.6122145614893917,0.4894372261244266,5.547995759086673,4.189802876509759,0.6269884713520533,0.5231263398866342,-0.21974009639936742,-0.29599191055007346,0.014773909862661583,0.03368911376220757
Birr co offlay,5,5.568289355565978,4.345536532735679,0.6275513814312709,0.5166419960678557,5.831363625675298,4.416684101128981,0.6099550170495865,0.50872818694805,0.2630742701093203,0.07114756839330205,-0.017596364381684326,-0.00791380911980566
Birr co offlay,6,6.366488772124489,4.819582544514131,0.5785267167270907,0.4785828992119675,6.2099098162746085,4.56827510019945,0.5888925320101468,0.5057711458724925,-0.15657895584988069,-0.2513074443146808,0.010365815283056135,0.027188246660524995
Birr co offlay,7,6.439011936602422,5.117191694621573,0.5727730446063188,0.4555348680507767,6.322450812232855,4.809012510021761,0.5805068482973166,0.4883248885191323,-0.116561124369567,-0.30817918459981186,0.0077338036909977426,0.03279002046835561
Birr co offlay,8,8.651216213110773,6.322242583277276,0.4456114407545649,0.364547121853314,8.438038661768525,5.967527085018547,0.4592723171724949,0.4001998164980839,-0.21317755134224825,-0.35471549825872906,0.013660876417930012,0.03565269464476989
Birr co offlay,9,8.09570359543434,6.580399780443668,0.4546758717221295,0.3177126617631858,7.88201163467677,6.242089476665149,0.4690700971092633,0.352790292965643,-0.21369196075757024,-0.3383103037785187,0.014394225387133808,0.035077631202457216
Birr co offlay,10,8.844680763784394,7.187859879966922,0.4229800185782173,0.282147191385751,8.547790781576156,6.676328184050221,0.4423488863297325,0.3332339502738087,-0.2968899822082385,-0.5115316959167009,0.019368867751515195,0.05108675888805769
Birr co offlay,11,9.160569105326388,7.034388545416925,0.4044201748996532,0.2811777698060476,8.53191625081799,6.35324229452501,0.4452924125119698,0.3507819811732711,-0.6286528545083989,-0.6811462508919144,0.04087223761231662,0.0696042113672235
Birr co offlay,12,10.299398002043429,6.838312119142755,0.343664263067067,0.2821521853473472,10.27859007709312,6.581820404536836,0.3449902614170285,0.3090772530538871,-0.02080792495030792,-0.2564917146059198,0.0013259983499614991,0.026925067706539907
Birr co offlay,13,10.503428397262985,6.989429319342609,0.3056530599923379,0.2362877238574687,9.465797884079844,6.4124002977735906,0.3742473840965549,0.2993378138330865,-1.0376305131831405,-0.5770290215690181,0.06859432410421701,0.06305008997561778
Birr co offlay,14,9.337843488035926,5.17581420379907,0.3686642354701678,0.4122483785032899,9.34037305443117,5.353737400465715,0.3684932103575583,0.3920438960344369,0.002529566395244487,0.17792319666664458,-0.00017102511260952413,-0.02020448246885298
Birr co offlay,15,8.27950201835265,5.173896922390157,0.4127370425105492,0.3833526556929001,8.158951274723503,5.081943609976607,0.4212876758788699,0.394312047955756,-0.1205507436291473,-0.09195331241355031,0.008550633368320681,0.01095939226285586
Birr co offlay,16,8.44770426300358,5.341341408673435,0.4020377999446791,0.359442183763377,7.870173033789445,5.052171632651848,0.4429177637395707,0.3941207309817292,-0.5775312292141344,-0.28916977602158767,0.040879963794891616,0.034678547218352174
Birr co offlay,17,9.058883459397215,5.860158847284001,0.3762345120390977,0.3086245626237662,7.858036487863392,5.0249793001900525,0.4589209601562931,0.4071581757403084,-1.2008469715338235,-0.8351795470939489,0.08268644811719539,0.09853361311654218
Birr co offlay,18,12.54855825220484,7.511734378213916,0.2507923062759875,0.2265089191716438,10.084621061333806,6.570174794118123,0.3979008954184061,0.3234622862234377,-2.463937190871034,-0.9415595840957929,0.14710858914241864,0.09695336705179389
Birr co offlay,19,15.13402453036476,8.878433366549325,0.2255332461730053,0.204986300709149,13.2211021382024,8.020679950856797,0.3234249069409983,0.2817932877006069,-1.9129223921623595,-0.8577534156925282,0.097891660767993,0.07680698699145791
Birr co offlay,20,17.280176812239034,10.093046894166472,0.1950409465195745,0.1658629116388206,15.3075469413889,9.121945563985136,0.286931573042683,0.2461193143440638,-1.9726298708501346,-0.9711013301813356,0.09189062652310853,0.0802564027052432
Birr co offlay,21,18.03642694987748,10.179447309965251,0.1678837168033184,0.1459847913261528,16.103254561509285,8.861951696777137,0.2570712386477336,0.2565174417503306,-1.9331723883681953,-1.3174956131881146,0.08918752184441522,0.11053265042417779
