dataset,model,horizon,n,rmse_model,var_true,var_pred,alpha,n_pers,rmse_pers,skill,collapse_flag,near_ideal_flag
e1_rr_valencia_vivers,seasonal_naive,6,1442,13.456587618959743,106.20894129166417,101.85801043011227,0.9590342318769222,1442,13.505302806064556,0.003607115501544911,False,True
e1_rr_valencia_vivers,seasonal_naive,7,1434,13.618763207320667,105.44894755577342,107.40439739033513,1.0185440431591548,1434,13.618763207320667,0.0,False,False
e1_rr_valencia_vivers,stl_ridge_direct,1,1479,26.48356669450981,105.94386591455493,178.58239677769478,1.6856322471913923,1479,9.215876884366597,-1.8736892893431936,False,False
e1_rr_valencia_vivers,stl_ridge_direct,2,1470,26.96073815501519,105.96765051598872,170.95629787040428,1.613287612190759,1470,11.793431816634438,-1.2860808095729626,False,False
e1_rr_valencia_vivers,stl_ridge_direct,3,1461,27.080349030739914,106.11177214934872,166.48373955234175,1.568946933786211,1461,12.610361546902622,-1.1474680904284966,False,False
e1_rr_valencia_vivers,stl_ridge_direct,4,1454,27.046889678746947,105.90210423647521,160.51363028054868,1.5156793289218133,1454,13.102468870748782,-1.0642590297717889,False,False
e1_rr_valencia_vivers,stl_ridge_direct,5,1446,26.872998566341575,107.19963355773261,152.17030327710734,1.4195039500312814,1446,13.57513286731092,-0.9795753624667698,False,False
e1_rr_valencia_vivers,stl_ridge_direct,6,1442,26.810139823070905,106.20894129166417,146.1192857464523,1.3757719827485042,1442,13.505302806064556,-0.9851565128204169,False,False
e1_rr_valencia_vivers,stl_ridge_direct,7,1434,26.920084214552954,105.44894755577342,146.99494521041152,1.3939915818758062,1434,13.618763207320667,-0.9766908202120923,False,False
e1_rr_zarra_emep,hgb_direct,1,1463,7.952091381742432,99.94059996196914,38.653402853456235,0.3867637663588691,1463,8.438794962776779,0.05767453566311054,True,False
e1_rr_zarra_emep,hgb_direct,2,1459,9.323574239861333,98.80263130079143,19.316739444336058,0.1955083502333943,1459,11.573468275466741,0.19440101982002223,True,False
e1_rr_zarra_emep,hgb_direct,3,1456,9.888745157969085,103.26223385989012,13.83718549940778,0.1340004470383874,1456,12.864493472643698,0.2313148450813498,True,False
e1_rr_zarra_emep,hgb_direct,4,1456,10.201990876769155,108.10913537012439,11.67082422822947,0.10795409831253414,1456,13.336849925453384,0.2350524348857933,True,False
e1_rr_zarra_emep,hgb_direct,5,1454,10.856341268028874,120.75401964698248,11.206198764749567,0.09280186943267191,1454,13.844513857896404,0.21583802945620845,True,False
e1_rr_zarra_emep,hgb_direct,6,1451,11.060226308412771,124.02924288532209,9.844933805476545,0.07937590826527263,1451,14.041142656932744,0.21229870113513594,True,False
e1_rr_zarra_emep,hgb_direct,7,1449,11.494606198709922,131.60619660592656,10.311682829956625,0.07835256314589266,1449,14.454707825822101,0.20478460462716586,True,False
e1_rr_zarra_emep,ridge_direct,1,1463,7.719680445681885,99.94059996196914,47.52284871952162,0.4755109408749368,1463,8.438794962776779,0.08521530861537485,True,False
e1_rr_zarra_emep,ridge_direct,2,1459,9.489915181920923,98.80263130079143,22.618069328903058,0.22892173043494524,1459,11.573468275466741,0.1800284101493156,True,False
e1_rr_zarra_emep,ridge_direct,3,1456,10.047337705041413,103.26223385989012,14.66105035699999,0.14197882235331677,1456,12.864493472643698,0.21898691725352093,True,False
e1_rr_zarra_emep,ridge_direct,4,1456,10.340776241347509,108.10913537012439,11.649799416626262,0.10775962065316495,1456,13.336849925453384,0.22464627710834983,True,False
e1_rr_zarra_emep,ridge_direct,5,1454,10.967935380538384,120.75401964698248,10.557492112309234,0.08742973644416527,1454,13.844513857896404,0.20777749994575112,True,False
e1_rr_zarra_emep,ridge_direct,6,1451,11.118336273296963,124.02924288532209,9.717618273573205,0.07834941218304584,1451,14.041142656932744,0.20816015156662904,True,False
e1_rr_zarra_emep,ridge_direct,7,1449,11.470369051771577,131.60619660592656,8.917088612848977,0.06775584161549592,1449,14.454707825822101,0.20646136954212646,True,False
e1_rr_zarra_emep,sarima,1,169,5.762947892392161,73.4442071356045,38.979700095989934,0.5307389325344523,1463,8.438794962776779,0.3170887647096159,False,False
e1_rr_zarra_emep,sarima,2,172,8.60271819894508,92.49929015684155,13.870902766140109,0.14995685634582323,1459,11.573468275466741,0.2566862418259711,True,False
e1_rr_zarra_emep,sarima,3,174,13.429633937427152,191.6751552384727,9.712292763342951,0.05067058769958683,1456,12.864493472643698,-0.04393025391829242,True,False
e1_rr_zarra_emep,sarima,4,170,7.33795404499233,61.19131487889273,5.526247871596583,0.09031098420640085,1456,13.336849925453384,0.4497985591794176,True,False
e1_rr_zarra_emep,sarima,5,170,6.277200882315674,43.2718339100346,3.449211381898589,0.07971031200271657,1454,13.844513857896404,0.5465928997762974,True,False
e1_rr_zarra_emep,sarima,6,169,6.584422369770121,44.62679878155526,3.793492456840147,0.0850048078825685,1451,14.041142656932744,0.5310622126241915,True,False
e1_rr_zarra_emep,sarima,7,172,10.297579511523557,107.8148999459167,4.287044602761219,0.03976300682847856,1449,14.454707825822101,0.28759684141606723,True,False
e1_rr_zarra_emep,seasonal_naive,1,1463,14.360056052912496,99.94059996196914,131.2833170355205,1.313613457248389,1463,8.438794962776779,-0.7016714016935104,False,False
e1_rr_zarra_emep,seasonal_naive,2,1459,14.185228200807302,98.80263130079143,127.99957626342322,1.295507767133707,1459,11.573468275466741,-0.22566786923129412,False,False
e1_rr_zarra_emep,seasonal_naive,3,1456,14.1430826100354,103.26223385989012,121.96029314092503,1.1810735501461755,1456,12.864493472643698,-0.099388999661014,False,False
e1_rr_zarra_emep,seasonal_naive,4,1456,14.301382204774228,108.10913537012439,120.71710042189954,1.116622568561022,1456,13.336849925453384,-0.07232084673008377,False,False
e1_rr_zarra_emep,seasonal_naive,5,1454,14.26143692685653,120.75401964698248,104.59123340441111,0.8661511534785976,1454,13.844513857896404,-0.030114677426707148,False,False
e1_rr_zarra_emep,seasonal_naive,6,1451,14.138139004138578,124.02924288532209,98.16271769605885,0.7914481731281748,1451,14.041142656932744,-0.006908009524277725,False,False
e1_rr_zarra_emep,seasonal_naive,7,1449,14.454707825822101,131.60619660592656,99.1675799354258,0.7535175583894964,1449,14.454707825822101,0.0,False,False
e1_rr_zarra_emep,stl_ridge_direct,1,1463,18.930525653593925,99.94059996196914,197.9971924077231,1.9811487271746206,1463,8.438794962776779,-1.2432735641872794,False,False
e1_rr_zarra_emep,stl_ridge_direct,2,1459,19.411080393670165,98.80263130079143,179.49386674084823,1.8166911587040946,1459,11.573468275466741,-0.6772051326064006,False,False
e1_rr_zarra_emep,stl_ridge_direct,3,1456,19.347909125478086,103.26223385989012,166.68377438254285,1.6141794357141774,1456,12.864493472643698,-0.5039775306055656,False,False
e1_rr_zarra_emep,stl_ridge_direct,4,1456,19.30360614269698,108.10913537012439,160.68511143030767,1.4863231574296032,1456,13.336849925453384,-0.4473887200197133,False,False
e1_rr_zarra_emep,stl_ridge_direct,5,1454,19.011849945826356,120.75401964698248,142.82179074981852,1.1827497847885304,1454,13.844513857896404,-0.37324070321058556,False,False
e1_rr_zarra_emep,stl_ridge_direct,6,1451,18.85794706345658,124.02924288532209,135.84687310514462,1.0952809994232502,1451,14.041142656932744,-0.3430493175813982,False,False
e1_rr_zarra_emep,stl_ridge_direct,7,1449,19.018328516757627,131.60619660592656,133.9103129271396,1.01750765830664,1449,14.454707825822101,-0.31571863962431723,False,False
