station,station_id,model,horizon,reported_alpha,recomputed_alpha,absolute_difference,collapse_status_reported,collapse_status_recomputed
Huesca,22125001_10_M,hgb_direct,1,0.544090062862485,0.5440900628624852,2.220446049250313e-16,False,False
Barcelona Vall d'Hebron,08019054_10_M,ridge_direct,1,0.5024007945076104,0.5024007945076104,0.0,False,False
