model,horizon,n,events,threshold_policy,recall,precision,flag_rate,base_rate
lightgbm,1,4181,1249,fold_train_p75,0.7734187349879904,0.8145025295109612,0.28366419516861996,0.29873236067926334
lightgbm,6,4161,1242,fold_train_p75,0.5853462157809984,0.6603088101725704,0.2645998558038933,0.29848594087959623
lightgbm,24,4071,1210,fold_train_p75,0.471900826446281,0.5176790571169537,0.27094080078604765,0.29722426922132156
lightgbm,48,3952,1153,fold_train_p75,0.3226366001734605,0.389937106918239,0.24139676113360323,0.291751012145749
sarima,1,4181,1249,fold_train_p75,0.7854283426741393,0.7829209896249002,0.299689069600574,0.29873236067926334
sarima,6,4161,1242,fold_train_p75,0.533816425120773,0.675152749490835,0.23600096130737802,0.29848594087959623
sarima,24,4071,1210,fold_train_p75,0.09917355371900827,0.718562874251497,0.04102186195038074,0.29722426922132156
sarima,48,3952,1153,fold_train_p75,0.0,,0.0,0.291751012145749
