dataset,model,horizon,mse,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,alpha
e1_rr_08019004_10_M,hgb_direct,1,44.14375385060723,0.8940502522106615,0.7952597232000878,42.45444387519646,0.5920228136840662,5.6781562571264015,8.084794686695023,0.49326089709889387
e1_rr_08019004_10_M,hgb_direct,2,61.25138069306449,2.5121460635732773,1.0249931355029647,57.71424149398826,0.3536756001699183,3.88494578260968,8.121923974407359,0.22879792667968596
e1_rr_08019004_10_M,hgb_direct,3,73.56655120447657,3.8349447162597734,2.950835097203152,66.78077139101363,0.22046095053833942,3.5648403802853177,8.378086382422694,0.18104665677537796
e1_rr_08019004_10_M,hgb_direct,4,75.55037696601113,4.589540880926258,2.8392665997644015,68.12156948532046,0.2083545310961809,3.4432708194719512,8.438782041950304,0.16648795704724106
e1_rr_08019004_10_M,hgb_direct,5,76.35617904790821,4.263315001214678,3.456864438514676,68.63599960817885,0.18399182347974813,3.410054154378533,8.428579251315709,0.16368685428802543
e1_rr_08019004_10_M,hgb_direct,6,75.16901182376654,3.7715185924803754,2.986686753343493,68.41080647794266,0.19542110835177742,3.3763241668911665,8.433688918117635,0.1602703255826597
e1_rr_08019004_10_M,hgb_direct,7,77.17774981378874,3.8218779642963283,3.5028218703692864,69.85304997912309,0.1663201656198131,3.2812903626370438,8.47586724898587,0.1498721832153405
e1_rr_08019004_10_M,persistence,1,53.56368537666175,0.0031754972956105523,11.368906567960183,42.19160331140596,0.5954092711061981,8.185542630778691,8.084794686695023,1.0250781074221793
e1_rr_08019004_10_M,persistence,2,83.11393466963622,0.005790452979455263,26.386456231534346,56.721687985122415,0.3743433596732174,8.177163193793929,8.121923974407359,1.013648753023813
e1_rr_08019004_10_M,persistence,3,99.38133630289532,0.00010802415552394068,34.491515417586044,64.88971286115374,0.2748529232579736,8.17568929572147,8.378086382422694,0.952267777649765
e1_rr_08019004_10_M,persistence,4,110.71313011152415,0.0026013791959758913,42.09074973064109,68.6197790016871,0.1908286338291173,8.098099662412752,8.438782041950304,0.9208877471999852
e1_rr_08019004_10_M,persistence,5,113.04755787901418,0.00045621642002081637,44.28192817079057,68.7651734918036,0.178982371512881,8.163033886240916,8.428579251315709,0.9379818811588121
e1_rr_08019004_10_M,persistence,6,109.7438155922039,0.0007404599799051424,41.405779397424375,68.3372957347996,0.19804777683345762,8.10500561158086,8.433688918117635,0.9235735446299949
e1_rr_08019004_10_M,persistence,7,114.04587528174305,0.008264462809917826,44.48002304778303,69.5575877711501,0.17825588389069263,8.18020773631386,8.47586724898587,0.9314517720999232
e1_rr_08019004_10_M,ridge_direct,1,43.935523646352316,1.0670253939836143,0.4042863292516198,42.46421192311707,0.5918965880232853,5.421197533063378,8.084794686695023,0.4496270936663593
e1_rr_08019004_10_M,ridge_direct,2,59.408878571969375,3.2439512065302387,0.015729620915215764,56.14919774452394,0.3857610172557584,3.258539439923342,8.121923974407359,0.16096376576425495
e1_rr_08019004_10_M,ridge_direct,3,68.06021905504272,4.455358254204043,0.031389496728374114,63.573471304110306,0.3070766314665735,2.7498853567428028,8.378086382422694,0.10773070677422433
e1_rr_08019004_10_M,ridge_direct,4,72.07774219371156,5.263715096352354,0.15032401272709323,66.6637030846321,0.25275187892270107,2.520634424528334,8.438782041950304,0.08921958242919564
e1_rr_08019004_10_M,ridge_direct,5,73.03833154763416,5.725848809451788,0.18959066360085042,67.12289207458151,0.23484480170164487,2.414828123036006,8.428579251315709,0.08208498073168695
e1_rr_08019004_10_M,ridge_direct,6,72.9122103401896,5.570546945828343,0.15627409210121349,67.18538930226006,0.23541020106569635,2.3806915846514207,8.433688918117635,0.07968399839996634
e1_rr_08019004_10_M,ridge_direct,7,74.13013970008406,5.214421524795313,0.32893440069997043,68.58678377458875,0.21281099020327693,2.3772857316560487,8.47586724898587,0.07866734178847912
e1_rr_08019004_10_M,sarima,1,39.98795281387877,0.6595865937820247,2.590473324631845,36.737892895464896,0.6131257295394351,6.313714812311854,7.67252105667227,0.6771638168436921
e1_rr_08019004_10_M,sarima,2,87.58282106303146,0.11449944472510964,0.38881736058085514,87.07950425772549,0.35865710400160666,4.208949908476924,9.996728509995439,0.17726856081321574
e1_rr_08019004_10_M,sarima,3,89.84047464984178,0.04835599687558304,0.04370218483784806,89.74841646812838,0.3328937801867044,3.135392431994976,10.046577335887713,0.0973974413707909
e1_rr_08019004_10_M,sarima,4,91.11592018893087,0.1880518554147095,0.023739059929966982,90.9041292735862,0.29730807151234917,2.8148175820937937,9.98591265519048,0.07945568645265172
e1_rr_08019004_10_M,sarima,5,71.37324796440335,0.2638178086797125,0.784535196924583,70.32489495879905,0.3488410134394645,2.2357230380843323,8.948096217963121,0.06242732319535398
e1_rr_08019004_10_M,sarima,6,65.299559459661,0.003355369022349658,0.7375276488339187,64.55867644180474,0.1996629420326107,2.4960205155398993,8.199950373284631,0.09265606520691769
e1_rr_08019004_10_M,sarima,7,65.35285474236514,0.44080858496856046,2.13423905963561,62.77780709776097,0.16288232739547298,2.768928061352674,8.030487863758974,0.11888840073720566
e1_rr_08019004_10_M,seasonal_naive,1,109.89660265878878,0.0007306759991186285,46.21923000149154,63.6766419812981,0.16066542035668757,8.097419559527289,8.084794686695023,1.003125553722795
e1_rr_08019004_10_M,seasonal_naive,2,110.75723088344469,1.2174763242471632e-05,46.59933275105127,64.15788595763017,0.16554338729206228,8.170901199683692,8.121923974407359,1.0120968622378332
e1_rr_08019004_10_M,seasonal_naive,3,112.38328136599851,0.0010001934514213813,44.35939828026307,68.022882892284,0.1758044413841796,8.133189946401734,8.378086382422694,0.9423932409049295
e1_rr_08019004_10_M,seasonal_naive,4,113.91172490706322,0.00015049543262249805,44.973439254955316,68.93813515667524,0.1787318999929652,8.214503467221952,8.438782041950304,0.9475520913696711
e1_rr_08019004_10_M,seasonal_naive,5,113.7289843166542,0.0005120638332644,44.92536748433474,68.80310476848618,0.17748451740399057,8.198581165659315,8.428579251315709,0.9461688622838936
e1_rr_08019004_10_M,seasonal_naive,6,113.11718890554724,0.0028888610417432477,44.371582660589766,68.74271738391572,0.18309276957611056,8.205347253134665,8.433688918117635,0.9465831623288561
e1_rr_08019004_10_M,seasonal_naive,7,114.04587528174305,0.008264462809917826,44.48002304778303,69.5575877711501,0.17825588389069263,8.18020773631386,8.47586724898587,0.9314517720999232
e1_rr_08019004_10_M,stl_ridge_direct,1,658.2592643893106,536.962992185122,63.76657700747851,57.529695196710485,0.34620123037144435,10.784363604170233,8.084794686695023,1.7793076794101776
e1_rr_08019004_10_M,stl_ridge_direct,2,694.3219919502726,563.0633705238216,69.32695598497867,61.931665441472504,0.247290905287945,10.33475897398739,8.121923974407359,1.6191342705632572
e1_rr_08019004_10_M,stl_ridge_direct,3,706.5271543869773,571.7846941263181,68.07137009759887,66.67109016306009,0.22397681143702738,10.127034638038024,8.378086382422694,1.4610831193197351
e1_rr_08019004_10_M,stl_ridge_direct,4,716.8300722487779,579.7399785162611,69.06963536362896,68.02045836888789,0.2117343866574915,10.097594702029461,8.438782041950304,1.4317801262179088
e1_rr_08019004_10_M,stl_ridge_direct,5,718.856889297041,583.7860633666285,67.04724178096706,68.02358414944537,0.20609121559835802,9.925294158101394,8.428579251315709,1.386685659845838
e1_rr_08019004_10_M,stl_ridge_direct,6,718.9767958927675,588.5530932035866,62.48686669528795,67.93683599389286,0.21178555287380255,9.69099695394836,8.433688918117635,1.3203885774173787
e1_rr_08019004_10_M,stl_ridge_direct,7,719.4859892422508,589.773887273379,60.859970723553005,68.8521312453183,0.20394838753518116,9.529919527942596,8.47586724898587,1.264183665959114
e1_rr_08019028_10_M,hgb_direct,1,60.84392546256978,0.2972992993534452,0.8567012201137341,59.68992494310258,0.6020675800072834,6.751315958269997,9.67621342509993,0.48681728358721577
e1_rr_08019028_10_M,hgb_direct,2,81.43432176218052,0.8408099983533832,1.828728310493835,78.7647834533333,0.3800578715523203,4.998933543957812,9.594930148055685,0.27143827817015287
e1_rr_08019028_10_M,hgb_direct,3,89.82180428008007,1.4245740849239013,3.4257036257654043,84.97152656939076,0.26569282916524617,4.39133229892498,9.561668128675326,0.21092364720309076
e1_rr_08019028_10_M,hgb_direct,4,94.37376699687394,1.5580961005957037,3.710780134136807,89.10489076214144,0.20680989000163136,3.9216651620880816,9.648119978981214,0.16521734137952931
e1_rr_08019028_10_M,hgb_direct,5,94.26446389478002,1.359756295309376,3.3763241481292745,89.52838345134137,0.19083645983470873,3.676967986463774,9.639092701876464,0.14551487257927337
e1_rr_08019028_10_M,hgb_direct,6,94.14838773225638,1.2552664486181644,2.8657152013120166,90.02740608232618,0.19861289755007097,3.6156425869906257,9.681144914582307,0.13948180029240612
e1_rr_08019028_10_M,hgb_direct,7,95.09522286253802,1.190164826900723,2.939446142194555,90.96561189344276,0.19693699066133363,3.630304664804209,9.72810315748998,0.13926109732758538
e1_rr_08019028_10_M,persistence,1,68.61302713987473,0.002916150315089685,12.717482247290345,55.892628742269316,0.6348560175669029,9.709160231340915,9.67621342509993,1.0068214487498746
e1_rr_08019028_10_M,persistence,2,112.53650070126227,0.00023585722182125035,35.22837644989873,77.30788839414171,0.4003361326980282,9.776546961717127,9.594930148055685,1.0382151136037319
e1_rr_08019028_10_M,persistence,3,135.99205218617772,0.0025567357827325095,51.49191959975849,84.49757585063648,0.27527566139019194,9.807881555071505,9.561668128675326,1.0521631637875424
e1_rr_08019028_10_M,persistence,4,151.6748510638298,0.039547386952367036,62.13038139438319,89.50492228249423,0.19614510062317422,9.774714216856998,9.648119978981214,1.026414424341451
e1_rr_08019028_10_M,persistence,5,155.47412268188302,0.03328932989554422,65.60025508724904,89.84057826473844,0.18181981567772199,9.851976498193581,9.639092701876464,1.0446586875462816
e1_rr_08019028_10_M,persistence,6,150.96467857142855,0.01665943367346851,61.42089475422087,89.52712438353424,0.21162435886476377,9.885914467161893,9.681144914582307,1.0427501361623268
e1_rr_08019028_10_M,persistence,7,146.17690544412608,0.04679969786783471,56.83142865141763,89.29867709484064,0.23748337234376576,9.848925003093184,9.72810315748998,1.0249940075411548
e1_rr_08019028_10_M,ridge_direct,1,56.10606960945453,0.3238457172489156,0.2684195712352111,55.51380432097044,0.6380346184452759,6.691851382692803,9.67621342509993,0.47827942316777067
e1_rr_08019028_10_M,ridge_direct,2,76.88957623753497,0.9632319494639772,0.09970243470608105,75.8266418533649,0.4199506665679139,4.345154234797722,9.594930148055685,0.20508162907994384
e1_rr_08019028_10_M,ridge_direct,3,83.61459015203565,1.4310872378987407,0.0501439590776694,82.13335895505922,0.31880429969032176,3.272229380296413,9.561668128675326,0.11711705619807129
e1_rr_08019028_10_M,ridge_direct,4,87.96694727514587,1.5811454848165123,0.011945022343122728,86.37385676798624,0.26853135373068904,2.7001160048133213,9.648119978981214,0.07832122206360094
e1_rr_08019028_10_M,ridge_direct,5,88.38061608141857,1.5613808160611897,0.0009775946650495816,86.81825767069233,0.256100094520049,2.499839062317441,9.639092701876464,0.06725921372625164
e1_rr_08019028_10_M,ridge_direct,6,89.21644934788134,1.484153842151012,0.0002285496358210189,87.7320669560945,0.25285834830138915,2.4328404545919606,9.681144914582307,0.06315006700986578
e1_rr_08019028_10_M,ridge_direct,7,90.2875741258245,1.4122323958507652,0.0015663350854557233,88.87377539488831,0.24675535508472204,2.3608845974850774,9.72810315748998,0.05889700124895883
e1_rr_08019028_10_M,sarima,1,46.44175645326052,0.24347315704152256,0.0003426749132803216,46.19794062130569,0.7251245109890375,7.175752847482524,9.870361928794708,0.5285289595264814
e1_rr_08019028_10_M,sarima,2,67.10147321157731,0.12031316723540599,2.2624020137725105,64.71875803056939,0.39935880584884664,5.008468458089459,8.774916398972524,0.32577961901758656
e1_rr_08019028_10_M,sarima,3,64.24261421768958,0.057834433811383215,2.603253374147906,61.581526409730294,0.23317782318103777,3.495168287672105,8.069842145507021,0.18758845367890864
e1_rr_08019028_10_M,sarima,4,117.33325920663597,0.10718632118990498,0.35664903294783584,116.8694238524982,0.27959839560549943,3.7453910881616603,11.259685816724994,0.11064754967240643
e1_rr_08019028_10_M,sarima,5,101.6416013247663,0.07996345757878615,0.23857673903355006,101.32306112815395,0.28031034951101813,3.427872535047352,10.486339021213112,0.10685664642790285
e1_rr_08019028_10_M,sarima,6,82.29673420868855,1.0918796906994181,1.6262494896670734,79.57860502832206,0.16961052691337103,2.8105313089201807,9.05183459108503,0.09640590519151059
e1_rr_08019028_10_M,sarima,7,130.3421056454332,0.5626709448017315,3.2818407483855876,126.4975939522459,0.1313194007949984,3.3014516183168183,11.345364518237243,0.08467846297603117
e1_rr_08019028_10_M,seasonal_naive,1,147.6297286012526,0.006227483318151267,58.348332550815165,89.27516856711934,0.21564314913473315,9.725217159113669,9.67621342509993,1.010154348171558
