timestamp_utc,station_id,model,failure_type,fold,refit_block,origin_start,origin_end,horizon,target_time,exception
2026-08-16T09:22:30Z,07026001_10_49,all,missing_target,0,0,2021-02-05,2021-02-05,7,2021-02-12,
2026-08-16T09:22:30Z,07026001_10_49,all,missing_target,0,0,2021-02-06,2021-02-06,6,2021-02-12,
2026-08-16T09:22:30Z,07026001_10_49,all,missing_target,0,0,2021-02-08,2021-02-08,4,2021-02-12,
2026-08-16T09:22:30Z,07026001_10_49,all,missing_target,0,0,2021-02-09,2021-02-09,3,2021-02-12,
2026-08-16T09:22:30Z,07026001_10_49,all,missing_target,0,0,2021-02-10,2021-02-10,2,2021-02-12,
2026-08-16T09:22:31Z,07026001_10_49,all,missing_target,1,1,2021-02-11,2021-02-11,1,2021-02-12,
2026-08-16T09:22:33Z,07026001_10_49,all,missing_target,2,2,2021-03-11,2021-03-11,7,2021-03-18,
2026-08-16T09:22:33Z,07026001_10_49,all,missing_target,2,2,2021-03-13,2021-03-13,5,2021-03-18,
2026-08-16T09:22:33Z,07026001_10_49,all,missing_target,2,2,2021-03-14,2021-03-14,4,2021-03-18,
2026-08-16T09:22:33Z,07026001_10_49,all,missing_target,2,2,2021-03-15,2021-03-15,3,2021-03-18,
2026-08-16T09:22:33Z,07026001_10_49,all,missing_target,2,2,2021-03-16,2021-03-16,2,2021-03-18,
2026-08-16T09:22:33Z,07026001_10_49,all,missing_target,2,2,2021-03-17,2021-03-17,1,2021-03-18,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-14,2021-04-14,7,2021-04-21,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-16,2021-04-16,5,2021-04-21,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-16,2021-04-16,6,2021-04-22,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-17,2021-04-17,4,2021-04-21,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-17,2021-04-17,5,2021-04-22,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-18,2021-04-18,3,2021-04-21,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-18,2021-04-18,4,2021-04-22,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-19,2021-04-19,2,2021-04-21,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-19,2021-04-19,3,2021-04-22,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-20,2021-04-20,1,2021-04-21,
2026-08-16T09:22:34Z,07026001_10_49,all,missing_target,3,3,2021-04-20,2021-04-20,2,2021-04-22,
