timestamp_utc,station_id,model,failure_type,fold,refit_block,origin_start,origin_end,horizon,target_time,exception
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-10,2021-06-10,7,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-11,2021-06-11,6,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-12,2021-06-12,5,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-12,2021-06-12,7,2021-06-19,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-13,2021-06-13,4,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-13,2021-06-13,6,2021-06-19,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-13,2021-06-13,7,2021-06-20,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-14,2021-06-14,3,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-14,2021-06-14,5,2021-06-19,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-14,2021-06-14,6,2021-06-20,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-15,2021-06-15,2,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-15,2021-06-15,4,2021-06-19,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-15,2021-06-15,5,2021-06-20,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-16,2021-06-16,1,2021-06-17,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-16,2021-06-16,3,2021-06-19,
2026-08-16T09:11:17Z,01059012_10_47,all,missing_target,5,5,2021-06-16,2021-06-16,4,2021-06-20,
2026-08-16T09:11:18Z,01059012_10_47,all,missing_target,6,6,2021-06-17,2021-06-17,2,2021-06-19,
2026-08-16T09:11:18Z,01059012_10_47,all,missing_target,6,6,2021-06-17,2021-06-17,3,2021-06-20,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-05,2021-09-05,7,2021-09-12,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-06,2021-09-06,6,2021-09-12,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-06,2021-09-06,7,2021-09-13,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-07,2021-09-07,5,2021-09-12,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-07,2021-09-07,6,2021-09-13,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-08,2021-09-08,4,2021-09-12,
2026-08-16T09:11:21Z,01059012_10_47,all,missing_target,8,8,2021-09-08,2021-09-08,5,2021-09-13,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-09,2021-09-09,3,2021-09-12,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-09,2021-09-09,4,2021-09-13,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-10,2021-09-10,2,2021-09-12,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-10,2021-09-10,3,2021-09-13,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-11,2021-09-11,1,2021-09-12,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-11,2021-09-11,2,2021-09-13,
2026-08-16T09:11:22Z,01059012_10_47,all,missing_target,9,9,2021-09-12,2021-09-12,1,2021-09-13,
2026-08-16T09:11:50Z,01059012_10_47,all,missing_target,27,27,2023-02-01,2023-02-01,7,2023-02-08,
2026-08-16T09:11:50Z,01059012_10_47,all,missing_target,27,27,2023-02-02,2023-02-02,6,2023-02-08,
