timestamp_utc,station_id,model,failure_type,fold,refit_block,origin_start,origin_end,horizon,target_time,exception
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-11,2022-02-11,7,2022-02-18,
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-12,2022-02-12,6,2022-02-18,
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-13,2022-02-13,5,2022-02-18,
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-14,2022-02-14,4,2022-02-18,
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-15,2022-02-15,3,2022-02-18,
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-16,2022-02-16,2,2022-02-18,
2026-08-16T10:52:34Z,20069007_10_49,all,missing_target,1,1,2022-02-17,2022-02-17,1,2022-02-18,
2026-08-16T10:52:35Z,20069007_10_49,all,missing_target,2,2,2022-03-24,2022-03-24,7,2022-03-31,
2026-08-16T10:52:35Z,20069007_10_49,all,missing_target,2,2,2022-03-25,2022-03-25,6,2022-03-31,
2026-08-16T10:52:37Z,20069007_10_49,all,missing_target,3,3,2022-03-26,2022-03-26,5,2022-03-31,
2026-08-16T10:52:37Z,20069007_10_49,all,missing_target,3,3,2022-03-27,2022-03-27,4,2022-03-31,
2026-08-16T10:52:37Z,20069007_10_49,all,missing_target,3,3,2022-03-28,2022-03-28,3,2022-03-31,
2026-08-16T10:52:37Z,20069007_10_49,all,missing_target,3,3,2022-03-29,2022-03-29,2,2022-03-31,
2026-08-16T10:52:37Z,20069007_10_49,all,missing_target,3,3,2022-03-30,2022-03-30,1,2022-03-31,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-01,2023-02-01,7,2023-02-08,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-02,2023-02-02,6,2023-02-08,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-03,2023-02-03,5,2023-02-08,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-04,2023-02-04,4,2023-02-08,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-05,2023-02-05,3,2023-02-08,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-06,2023-02-06,2,2023-02-08,
2026-08-16T10:52:55Z,20069007_10_49,all,missing_target,14,14,2023-02-07,2023-02-07,1,2023-02-08,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-14,2023-04-14,7,2023-04-21,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-15,2023-04-15,6,2023-04-21,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-16,2023-04-16,5,2023-04-21,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-17,2023-04-17,4,2023-04-21,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-18,2023-04-18,3,2023-04-21,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-19,2023-04-19,2,2023-04-21,
2026-08-16T10:52:58Z,20069007_10_49,all,missing_target,16,16,2023-04-20,2023-04-20,1,2023-04-21,
2026-08-16T10:53:00Z,20069007_10_49,all,missing_target,17,17,2023-05-03,2023-05-03,7,2023-05-10,
2026-08-16T10:53:00Z,20069007_10_49,all,missing_target,17,17,2023-05-04,2023-05-04,6,2023-05-10,
2026-08-16T10:53:00Z,20069007_10_49,all,missing_target,17,17,2023-05-06,2023-05-06,4,2023-05-10,
2026-08-16T10:53:00Z,20069007_10_49,all,missing_target,17,17,2023-05-07,2023-05-07,3,2023-05-10,
2026-08-16T10:53:00Z,20069007_10_49,all,missing_target,17,17,2023-05-08,2023-05-08,2,2023-05-10,
2026-08-16T10:53:00Z,20069007_10_49,all,missing_target,17,17,2023-05-09,2023-05-09,1,2023-05-10,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-10-31,2023-10-31,7,2023-11-07,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-11-01,2023-11-01,6,2023-11-07,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-11-01,2023-11-01,7,2023-11-08,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-11-02,2023-11-02,5,2023-11-07,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-11-02,2023-11-02,6,2023-11-08,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-11-03,2023-11-03,4,2023-11-07,
2026-08-16T10:53:10Z,20069007_10_49,all,missing_target,23,23,2023-11-03,2023-11-03,5,2023-11-08,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-04,2023-11-04,3,2023-11-07,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-04,2023-11-04,4,2023-11-08,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-05,2023-11-05,2,2023-11-07,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-05,2023-11-05,3,2023-11-08,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-06,2023-11-06,1,2023-11-07,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-06,2023-11-06,2,2023-11-08,
2026-08-16T10:53:12Z,20069007_10_49,all,missing_target,24,24,2023-11-07,2023-11-07,1,2023-11-08,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-07,2023-12-07,7,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-08,2023-12-08,6,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-08,2023-12-08,7,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-09,2023-12-09,5,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-09,2023-12-09,6,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-10,2023-12-10,4,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-10,2023-12-10,5,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-11,2023-12-11,3,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-11,2023-12-11,4,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-12,2023-12-12,2,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-12,2023-12-12,3,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-13,2023-12-13,1,2023-12-14,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-13,2023-12-13,2,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-14,2023-12-14,1,2023-12-15,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-14,2023-12-14,7,2023-12-21,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-19,2023-12-19,2,2023-12-21,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-25,2023-12-25,7,2024-01-01,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-26,2023-12-26,6,2024-01-01,
2026-08-16T10:53:13Z,20069007_10_49,all,missing_target,25,25,2023-12-26,2023-12-26,7,2024-01-02,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-30,2023-12-30,2,2024-01-01,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-30,2023-12-30,3,2024-01-02,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-30,2023-12-30,4,2024-01-03,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-30,2023-12-30,5,2024-01-04,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-30,2023-12-30,6,2024-01-05,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-30,2023-12-30,7,2024-01-06,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,1,2024-01-01,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,2,2024-01-02,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,3,2024-01-03,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,4,2024-01-04,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,5,2024-01-05,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,6,2024-01-06,
2026-08-16T10:53:14Z,20069007_10_49,all,missing_target,26,26,2023-12-31,2023-12-31,7,2024-01-07,
