timestamp_utc,station_id,model,failure_type,fold,refit_block,origin_start,origin_end,horizon,target_time,exception
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-10,2021-04-10,3,2021-04-13,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-11,2021-04-11,2,2021-04-13,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-12,2021-04-12,1,2021-04-13,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-21,2021-04-21,6,2021-04-27,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-22,2021-04-22,5,2021-04-27,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-23,2021-04-23,4,2021-04-27,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-24,2021-04-24,3,2021-04-27,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-25,2021-04-25,2,2021-04-27,
2026-08-16T09:48:07Z,11028001_10_49,all,missing_target,0,0,2021-04-26,2021-04-26,1,2021-04-27,
2026-08-16T09:48:09Z,11028001_10_49,all,missing_target,1,1,2021-05-26,2021-05-26,6,2021-06-01,
2026-08-16T09:48:09Z,11028001_10_49,all,missing_target,1,1,2021-05-27,2021-05-27,5,2021-06-01,
2026-08-16T09:48:09Z,11028001_10_49,all,missing_target,1,1,2021-05-28,2021-05-28,4,2021-06-01,
2026-08-16T09:48:09Z,11028001_10_49,all,missing_target,1,1,2021-05-29,2021-05-29,3,2021-06-01,
2026-08-16T09:48:09Z,11028001_10_49,all,missing_target,1,1,2021-05-30,2021-05-30,2,2021-06-01,
2026-08-16T09:48:09Z,11028001_10_49,all,missing_target,1,1,2021-05-31,2021-05-31,1,2021-06-01,
2026-08-16T09:48:10Z,11028001_10_49,all,missing_target,2,2,2021-06-14,2021-06-14,7,2021-06-21,
2026-08-16T09:48:10Z,11028001_10_49,all,missing_target,2,2,2021-06-16,2021-06-16,5,2021-06-21,
2026-08-16T09:48:10Z,11028001_10_49,all,missing_target,2,2,2021-06-17,2021-06-17,4,2021-06-21,
2026-08-16T09:48:10Z,11028001_10_49,all,missing_target,2,2,2021-06-18,2021-06-18,3,2021-06-21,
2026-08-16T09:48:10Z,11028001_10_49,all,missing_target,2,2,2021-06-19,2021-06-19,2,2021-06-21,
2026-08-16T09:48:10Z,11028001_10_49,all,missing_target,2,2,2021-06-20,2021-06-20,1,2021-06-21,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-09,2021-08-09,7,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-10,2021-08-10,6,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-11,2021-08-11,5,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-12,2021-08-12,4,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-13,2021-08-13,3,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-14,2021-08-14,2,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-15,2021-08-15,1,2021-08-16,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-25,2021-08-25,7,2021-09-01,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-26,2021-08-26,6,2021-09-01,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-26,2021-08-26,7,2021-09-02,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-27,2021-08-27,5,2021-09-01,
2026-08-16T09:48:14Z,11028001_10_49,all,missing_target,4,4,2021-08-27,2021-08-27,6,2021-09-02,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-08-28,2021-08-28,4,2021-09-01,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-08-28,2021-08-28,5,2021-09-02,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-08-29,2021-08-29,3,2021-09-01,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-08-29,2021-08-29,4,2021-09-02,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-08-31,2021-08-31,1,2021-09-01,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-08-31,2021-08-31,2,2021-09-02,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-01,2021-09-01,1,2021-09-02,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-01,2021-09-01,7,2021-09-08,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-06,2021-09-06,2,2021-09-08,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-06,2021-09-06,3,2021-09-09,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-06,2021-09-06,4,2021-09-10,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-06,2021-09-06,5,2021-09-11,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-06,2021-09-06,6,2021-09-12,
2026-08-16T09:48:15Z,11028001_10_49,all,missing_target,5,5,2021-09-06,2021-09-06,7,2021-09-13,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-07,2022-01-07,7,2022-01-14,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-08,2022-01-08,6,2022-01-14,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-09,2022-01-09,5,2022-01-14,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-10,2022-01-10,4,2022-01-14,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-11,2022-01-11,3,2022-01-14,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-12,2022-01-12,2,2022-01-14,
2026-08-16T09:48:22Z,11028001_10_49,all,missing_target,9,9,2022-01-13,2022-01-13,1,2022-01-14,
2026-08-16T09:48:30Z,11028001_10_49,all,missing_target,13,13,2022-04-20,2022-04-20,7,2022-04-27,
