station,support_type,horizon,p,model,quantity,ci_lower_block7,ci_lower_block14,ci_lower_block21,ci_upper_block7,ci_upper_block14,ci_upper_block21,excludes_zero_block7,excludes_zero_block14,excludes_zero_block21,sign_conclusion_stable_across_blocks,code_commit,config_sha256,input_manifest_sha256,generated_at_utc,decision_id,canon_version
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_ar1,8.399180791335413,9.022405539641564,10.380590280927166,83.73227628033753,79.27616940677802,72.17760797034656,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_mem,-5.959653471835738,-5.177866273873997,-5.04857492212506,-0.3287267340579219,-0.16391154256240248,-0.02394489602549958,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_res,-79.77891321868552,-80.9080903291907,-80.09577568588563,2.7508954923381363,3.1326959381215023,3.450025711596312,False,False,False,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_total,-46.25974166590287,-37.45118989053918,-35.707248227090666,57.50578762950103,46.33274267853367,41.954945070564044,False,False,False,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,pi_linear,0.8798539916043051,0.8532548248721171,0.8197270153922608,11.184232329241391,12.948984249400194,13.832082474345913,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_ar1,8.399180791335413,9.022405539641564,10.380590280927166,83.73227628033753,79.27616940677802,72.17760797034656,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_mem,-5.959653471835738,-5.177866273873997,-5.04857492212506,-0.3287267340579219,-0.16391154256240248,-0.02394489602549958,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_res,-20.61459190906601,-21.1338128654914,-20.920090371095828,1.94914121156928,2.1832736495455904,2.284761988096819,False,False,False,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_total,0.00032861740460395084,3.224135578182766,7.075094526113544,67.3101005325151,60.36557450896366,56.40406831952703,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,pi_linear,0.9139455025766361,0.9039357178313858,0.8996445616678904,2.0833359017034327,1.9043322142881525,1.7604394584597713,True,True,True,True,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
