station,period,support_type,horizon,p,method,n_cases,mse_calendar_aware,mse_compressed_time,difference,relative_difference,primary_estimator,note,code_commit,config_sha256,input_manifest_sha256,generated_at_utc,decision_id,canon_version
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,3,14,ar14,763,202.2449684310302,200.33179720587805,-1.9131712251521549,-0.009459672791833072,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,3,21,ar21,763,202.53972976967793,200.32705974700212,-2.212670022675809,-0.010924622172607767,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,4,1,ar1,757,202.41699138666954,202.03745840460644,-0.3795329820630968,-0.001875005549005959,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,4,7,ar7,757,202.81456962435323,202.24348878350685,-0.5710808408463777,-0.0028157781854830036,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,4,14,ar14,757,203.92525851125998,201.75895955620817,-2.166298955051815,-0.010623004579553837,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,4,21,ar21,757,203.8208284329084,202.18375975458704,-1.6370686783213557,-0.008031900816555795,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,5,1,ar1,753,202.15857245490608,201.99354751643608,-0.16502493846999755,-0.0008163143242753575,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,5,7,ar7,753,202.76454360959357,202.23987166879658,-0.524671940796992,-0.002587592147309564,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,5,14,ar14,753,204.36649353945202,202.2043621238204,-2.1621314156316203,-0.010579676629888601,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,5,21,ar21,753,204.64792666801995,203.19074110291513,-1.4571855651048224,-0.00712045115154609,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
