station,support_type,horizon,p,model,quantity,block_length,n_replicates,seed,confidence_level,interval_method,n_origins,replicate_mean,ci_lower,ci_upper,excludes_zero,max_identity_residual_in_replicates,code_commit,config_sha256,input_manifest_sha256,generated_at_utc,decision_id,canon_version
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_ar1,7,2000,20260806,0.95,percentile,804,40.78289282524867,8.399180791335413,83.73227628033753,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_mem,7,2000,20260806,0.95,percentile,804,-2.9122487873592844,-5.959653471835738,-0.3287267340579219,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_res,7,2000,20260806,0.95,percentile,804,-6.166545387263789,-20.61459190906601,1.94914121156928,False,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,delta_total,7,2000,20260806,0.95,percentile,804,31.704098650625596,0.00032861740460395084,67.3101005325151,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,ridge_direct,pi_linear,7,2000,20260806,0.95,percentile,804,1.224506025770732,0.9139455025766361,2.0833359017034327,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_ar1,7,2000,20260806,0.95,percentile,804,40.78289282524867,8.399180791335413,83.73227628033753,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_mem,7,2000,20260806,0.95,percentile,804,-2.9122487873592844,-5.959653471835738,-0.3287267340579219,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_res,7,2000,20260806,0.95,percentile,804,-27.917403824566282,-79.77891321868552,2.7508954923381363,False,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,delta_total,7,2000,20260806,0.95,percentile,804,9.953240213323104,-46.25974166590287,57.50578762950103,False,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,GLOBAL_COMMON,1,14,hgb_direct,pi_linear,7,2000,20260806,0.95,percentile,804,2.7533689113212794,0.8798539916043051,11.184232329241391,True,0.0,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
