source_commit,input_file,input_sha256,execution_timestamp,evidence_label,station_status,model,horizon,N,tp,fp,fn,tn,pod,far,pofd,csi,precision,event_bias,exceedance_intensity_error
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,1,4181,966,220,283,2712,0.7734187349879904,0.1854974704890387,0.0750341064120054,0.6575901974132062,0.8145025295109612,0.9495596477181746,-4.4662845463429885
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,6,4161,727,374,515,2545,0.5853462157809984,0.3396911898274296,0.1281260705721137,0.4498762376237624,0.6603088101725704,0.8864734299516909,-7.19891611045777
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,24,4071,571,532,639,2329,0.471900826446281,0.4823209428830462,0.1859489688919958,0.3277841561423651,0.5176790571169537,0.9115702479338844,-8.885182790473868
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,48,3952,372,582,781,2217,0.3226366001734605,0.610062893081761,0.2079314040728831,0.2144092219020172,0.389937106918239,0.8274067649609714,-10.409836731828351
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,1,4181,981,272,268,2660,0.7854283426741393,0.2170790103750997,0.0927694406548431,0.6449704142011834,0.7829209896249002,1.0032025620496396,-3.238887784075548
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,6,4161,663,319,579,2600,0.533816425120773,0.3248472505091649,0.1092840013703323,0.4247277386290839,0.675152749490835,0.7906602254428341,-9.084947782366903
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,24,4071,120,47,1090,2814,0.0991735537190082,0.281437125748503,0.0164278224397063,0.0954653937947494,0.718562874251497,0.1380165289256198,-14.451266239450234
95c9cbdc8c582f5657523c404afa58e61f5e1137,predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,2026-08-07T13:47:35.205900+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,48,3952,0,0,1153,2799,0.0,,0.0,0.0,,0.0,-15.37925694677928
