station,station_id,station_name,dataset,model,h,n,Skill_h,phi_h,r_h,alpha_h,beta_h,KGE_h,KGE_persistence_h,KGE_skill_h,mae_skill,skill_vp,alpha_source,province,station_type,station_class,lat,lon,altitude_m,dem_code,phi_source_sqrt_alpha,abs_alpha_h_minus_phi_source_sqrt_alpha,abs_alpha_h_minus_phi_h
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,1,1274,0.0545432047835262,0.5459791237416476,0.43451566164237343,0.5459791237416476,1.0021062110233325,0.2748021448383623,0.550704066474627,0.5009985188641721,0.0307519963616089,0.016258958646443,0.2980932035616973,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.5459791237416476,0.0,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,2,1251,0.2074180430237674,0.4046041012785673,0.1731979764886775,0.4046041012785673,1.001606331102004,-0.018872142418433935,0.21369877566102258,1.088311888358077,0.1405576467484952,0.0339552626209973,0.1637044787714371,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.4046041012785672,5.551115123125783e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,3,1241,0.2358890778091833,0.35998954912281156,0.08216661052089796,0.35998954912281156,0.9986494993926214,-0.11894295293665857,0.11352857190693244,2.047691791932032,0.185704695020168,0.0305694495314309,0.1295924754776451,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.3599895491228115,5.551115123125783e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,4,1234,0.2421463973791151,0.3455641765372585,0.025558267313414183,0.3455641765372585,0.9996051792665027,-0.17380709374070635,0.06781593961130516,3.5629239193160434,0.1903690953316565,0.0289158152101049,0.1194146001058735,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.3455641765372584,1.1102230246251565e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,5,1228,0.2536119461106551,0.3224971283948814,0.019214142871278227,0.3224971283948814,0.991756219615204,-0.192065014372931,0.04344205909299914,5.4211765828540806,0.2153576599538288,0.0263767577359437,0.1040043978229446,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.32249712839488137,5.551115123125783e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,6,1224,0.2508762662428327,0.3182336623940947,0.005973647784428905,0.3182336623940947,0.9910778386307899,-0.20539343492283124,0.04614786958102124,5.450767430600985,0.2143140689968438,0.0254069077868701,0.1012726638807586,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.3182336623940946,5.551115123125783e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,hgb_direct,7,1215,0.2378516414402605,0.3193903582757701,0.0030182526034826167,0.3193903582757701,0.9952563049198067,-0.2071555789096995,0.03594059352502155,6.763832997512394,0.1874614703961721,0.0242632937418738,0.1020102009595247,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.31939035827576995,1.6653345369377348e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,1,1274,0.1068243052570685,0.5146811119321265,0.5148194584583846,0.5146811119321265,1.0063983684559694,0.313723437581502,0.550704066474627,0.4303230052579312,0.0606217026697125,0.0282974002785323,0.2648966469796901,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.5146811119321265,0.0,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,2,1251,0.2264146319696041,0.2826214321022131,0.18550245176189378,0.2826214321022131,1.0049294878616915,-0.08538590630961518,0.21369877566102258,1.3995619817918736,0.1745066859246035,0.0180848401739525,0.0798748738835058,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.282621432102213,5.551115123125783e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,3,1241,0.2578848238331962,0.19278710712664993,0.07127748762182985,0.19278710712664993,1.002409095486112,-0.23049744540980033,0.11352857190693244,3.03030339885501,0.2238600172752354,0.0095847713804936,0.0371668686742623,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.19278710712664968,2.498001805406602e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,4,1234,0.2715063488548955,0.15324540170266815,0.01787852056524548,0.15324540170266815,1.0037697484906152,-0.2967537010197694,0.06781593961130516,5.375869489100162,0.2422163820744006,0.0063760966758084,0.0234841531430121,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.15324540170266807,8.326672684688674e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,5,1228,0.2781987813347364,0.17046661592571005,0.023795346623670714,0.17046661592571005,1.005937600044542,-0.28106846642231886,0.04344205909299914,7.469961882345816,0.2497286843660431,0.0080841414267525,0.0290588671451635,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.1704666159257099,1.3877787807814457e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,6,1224,0.2800379270533902,0.19173798763562433,0.059870496331184846,0.19173798763562433,1.0050742948410982,-0.23982124226358414,0.04614786958102124,6.196799861855659,0.2613624587873081,0.0102951619822712,0.0367634559025588,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.19173798763562425,8.326672684688674e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,ridge_direct,7,1215,0.2717268157502217,0.1818225480776016,0.07859113857720741,0.1818225480776016,1.0037652515861968,-0.2322429995184323,0.03594059352502155,7.461857658437015,0.2441776798139534,0.008983136087087,0.0330594389894317,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.18182254807760148,1.1102230246251565e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,1,136,-0.0460140053356599,0.22758909085224108,0.497919764899329,0.22758909085224108,0.9217734538507583,0.07543384900178618,0.550704066474627,0.8630228945199523,0.0198270420151025,-0.0023833779681376,0.0517967942749496,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.22758909085224097,1.1102230246251565e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,2,132,-0.0070258483928693,0.17373020422661467,0.3884949575086543,0.17373020422661467,0.9606029914719205,-0.028694471979263447,0.21369877566102258,1.1342753223105955,0.0941493883010384,-0.0002120554479704,0.0301821838606212,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.17373020422661456,1.1102230246251565e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,3,132,0.2339225517747595,0.16847895639201957,0.19031242390092803,0.16847895639201957,1.048177626138069,-0.16161194058618156,0.11352857190693244,2.4235353961702835,0.2000327627116493,0.0066399287666167,0.028385158746944,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.16847895639201949,8.326672684688674e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,4,134,0.2479131466958791,0.10801244618498283,0.06075732903819511,0.10801244618498283,1.0299286203165547,-0.29565208039443047,0.06781593961130516,5.359625216269129,0.2371125556202226,0.0028923254652071,0.0116666885308638,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.10801244618498278,5.551115123125783e-17,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,5,130,0.127818294381531,0.05563835569966998,-0.2106526054556053,0.05563835569966998,0.9928082845769853,-0.5354316549728921,0.04344205909299914,13.325190521624677,0.2356483884672777,0.0003956777152448,0.003095626624963,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.05563835569966999,6.938893903907228e-18,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,6,128,0.08973280811703,0.040599502541668234,-0.19003224718068187,0.040599502541668234,1.0228435134858254,-0.5287733285093561,0.04614786958102124,12.458239206059021,0.2330161350257278,0.0001479083469773,0.0016483196066309,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.04059950254166792,3.122502256758253e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,sarima,7,127,0.2217535084576362,0.07039566992112781,-0.10494559546318959,0.07039566992112781,0.9736777270513125,-0.4442166878581886,0.03594059352502155,13.359748248145333,0.2628796148505148,0.0010989106750415,0.0049555503436443,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.07039566992112725,5.551115123125783e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,seasonal_naive,1,1274,-0.5820662647666237,1.1456307104760413,0.0037137111748558886,1.1456307104760413,1.0303975366152145,-0.007332459204511421,0.550704066474627,1.0133146995834816,-0.6883644207587869,-0.7639443503253722,1.3124697247858397,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,1.1456307104760415,2.220446049250313e-16,0.0
03014002_10_M,03014002_10_M,Elx-Agroalimentari,e1_rr_daily,seasonal_naive,2,1251,-0.1912908811513025,1.1449060436405343,-0.00012637565169612748,1.1449060436405343,1.0229044442658521,-0.010828938211049355,0.21369877566102258,1.050673843018299,-0.2445844069090561,-0.25074597099199,1.3108098487646214,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,1.1449060436405345,2.220446049250313e-16,0.0
