rank_method,n_station_horizon_cells,median_spearman_skill_vs_kge,median_spearman_phi_vs_r,rank_reversal_rate,top_skill_top_kge_mismatch_cells,tie_affected_cells,tie_affected_pct,tied_metric_instances
average,119,0.3,-0.49999999999999994,1.0,104,0,0.0,0
dense,119,0.3,-0.49999999999999994,1.0,104,0,0.0,0
min,119,0.3,-0.49999999999999994,1.0,104,0,0.0,0
