h,median_skill_h,median_phi_h,median_r_h,median_beta_h,median_KGE_h,median_spearman_skill_vs_kge,median_spearman_phi_vs_r,rank_reversal_cells,rank_reversal_rate,top_skill_top_kge_mismatch_cells,n_station_horizon_cells,n_station_model_horizon_cells
1,0.0583157156074484,0.7095762754237506,0.504203304468607,1.007950518764693,0.3434771450309811,1.0,-0.6,17,1.0,7,17,85
2,0.1415381101030542,0.5157995961675568,0.2925642991280998,1.004291260813296,0.122556509854957,0.3,-0.7999999999999999,17,1.0,14,17,85
3,0.1719743752560671,0.4174962194948863,0.2276297590583382,1.0056776110771808,0.0246444949060735,0.3,-0.7,17,1.0,16,17,85
4,0.1973635493963782,0.3738228914574977,0.1847646973845336,1.0054496423789394,-0.0452486852914595,0.0999999999999999,-0.4999999999999999,17,1.0,16,17,85
5,0.1886994658645023,0.3586454591737865,0.1648011712663306,1.001948917837727,-0.0954876380179001,0.3,0.0999999999999999,17,1.0,17,17,85
6,0.2038831608350912,0.3709963847875688,0.1595194018750799,1.005104143270906,-0.1116636565762516,0.0999999999999999,0.0999999999999999,17,1.0,17,17,85
7,0.1887875480506626,0.3711187610801187,0.1522886057668123,1.002855807674334,-0.1347119866015276,0.3,0.0,17,1.0,17,17,85
