input_file,input_sha256,producer_commit,analysis_commit,execution_timestamp,evidence_label,model,n_cases,exact_match_with_base,symmetric_diff_count
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:16.684310+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,lightgbm,16365,True,0
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:16.684310+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,sarima,16365,True,0
