input_file,input_sha256,producer_commit,analysis_commit,execution_timestamp,evidence_label,station_status,model,horizon,fold,N,rmse_skill,variance_retention,std_ratio,alpha_kge,correlation,amplitude_ratio,temporal_variability,event_amplitude_retention,tp,fp,fn,tn,POD,CSI,event_bias,positive_skill,concordant_degradation
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,24,0,833,0.11756895179962135,0.19348015607655292,0.43986379264103215,0.43986379264103215,0.286575730181565,0.3600708299656465,0.3466906273186275,0.5491951772861342,84,68,268,413,0.23863636363636365,0.2,0.4318181818181818,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,24,1,830,-0.10651007478254515,0.8797183982437731,0.9379330457147638,0.9379330457147638,0.14910564081729363,0.9642758181645942,0.4961300948992608,0.7617021578318248,224,126,207,273,0.5197215777262181,0.4021543985637343,0.8120649651972158,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,24,2,795,-0.12320756023411072,0.6814084979872204,0.8254747106890801,0.8254747106890801,0.5847422096590336,0.7978589777641538,0.6981934678390486,0.9390359733807256,141,201,38,415,0.7877094972067039,0.37105263157894736,1.910614525139665,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,24,3,765,-0.28540461225039504,0.6517664238794306,0.8073205211558979,0.8073205211558979,0.25083085372627645,0.7997391443333254,0.6212842957567871,0.633739070396665,9,39,34,683,0.20930232558139536,0.10975609756097561,1.1162790697674418,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,24,4,848,0.034315289533768056,0.7446275429398856,0.8629180395262841,0.8629180395262841,0.5025494536388191,0.8539549179007555,0.5236130016400973,0.7651275999947671,113,98,92,545,0.551219512195122,0.37293729372937295,1.0292682926829269,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,48,0,809,0.23068724000260166,0.09521502330468021,0.3085693168555166,0.3085693168555166,0.13498786816542374,0.327774210464309,0.24010295105224758,0.5327799852279322,86,90,261,372,0.2478386167146974,0.19679633867276888,0.5072046109510087,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,48,1,806,0.1987575812572111,0.11771523454927117,0.3430965382356272,0.3430965382356272,-0.04355621553427558,0.3346704505464637,0.34755937177883883,0.5129415040128341,96,115,311,284,0.23587223587223588,0.1839080459770115,0.5184275184275184,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,48,2,771,-1.8057871706523971,3.461923291830179,1.8606244359972754,1.8606244359972754,0.4559788639698722,1.545569379136234,0.5874976396023105,1.6079005459456983,154,312,19,286,0.8901734104046243,0.31752577319587627,2.69364161849711,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,48,3,742,-0.01403275358668643,0.3382914642090841,0.5816282869746657,0.5816282869746657,0.24985375258414333,0.5746521738822509,0.5853453461273724,0.5451187079072499,1,6,42,693,0.023255813953488372,0.02040816326530612,0.16279069767441862,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,48,4,824,0.1196004481176276,0.25688163891918936,0.5068349227501883,0.5068349227501883,0.27483332636766306,0.5178371081547257,0.4397041113357014,0.5426936187517889,35,59,148,582,0.1912568306010929,0.1446280991735537,0.5136612021857924,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,1,0,856,0.054193634557713866,0.7881101815979824,0.8877556992765422,0.8877556992765422,0.803225361109317,0.868152115540213,0.7797885348455046,0.8687911936136624,256,94,98,408,0.7231638418079096,0.5714285714285714,0.9887005649717514,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,1,1,853,0.023395013181833457,0.7798063551681941,0.8830664500297778,0.8830664500297778,0.8861209891664039,0.8810072419962055,0.7352917338178955,0.9077880778999985,393,73,59,328,0.8694690265486725,0.7485714285714286,1.0309734513274336,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,1,2,818,0.01286046639995242,0.797899133288173,0.8932519987596854,0.8932519987596854,0.903898416226808,0.8843173063938702,0.7772755053835162,0.9025481054486988,121,56,58,583,0.6759776536312849,0.5148936170212766,0.9888268156424581,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,1,3,786,-0.01387035506348111,0.8016602477502649,0.8953548166789884,0.8953548166789884,0.9046463549702131,0.8859378608507321,0.7719755344786695,0.8916841582212591,30,10,13,733,0.6976744186046512,0.5660377358490566,0.9302325581395349,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,1,4,868,0.005794266356535904,0.8199124465253448,0.9054901692041415,0.9054901692041415,0.9384897915524748,0.9112387478786125,0.7907731099221447,0.9195573094954831,181,39,40,608,0.8190045248868778,0.6961538461538461,0.995475113122172,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,6,0,851,0.11526505526769237,0.34906546414017187,0.5908176234170507,0.5908176234170507,0.5537388945133541,0.5741605543241664,0.5098579752804396,0.6916904067432639,172,105,182,392,0.4858757062146893,0.3747276688453159,0.7824858757062146,True,False
