station_id,horizon,pareto_models,n_pareto,lightgbm_in_pareto
08019054_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08263007_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08263007_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08263007_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08263007_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08263007_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08263007_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08263007_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
22125001_10_M,1,"ridge_direct,sarima,seasonal_naive,stl_ridge_direct",4,False
22125001_10_M,2,"hgb_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",5,False
22125001_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
22125001_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
22125001_10_M,5,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
22125001_10_M,6,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
22125001_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
43004005_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004005_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004005_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004005_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004005_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004005_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004005_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004006_10_M,1,"ridge_direct,sarima,seasonal_naive,stl_ridge_direct",4,False
43004006_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004006_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004006_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
43004006_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
43004006_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
43004006_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44013007_10_M,1,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
44013007_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44013007_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44013007_10_M,4,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
44013007_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
44013007_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
44013007_10_M,7,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
44216001_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
44216001_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44216001_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44216001_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44216001_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44216001_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
44216001_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
45153999_10_M,1,"sarima,seasonal_naive,stl_ridge_direct",3,False
45153999_10_M,2,"hgb_direct,sarima,seasonal_naive,stl_ridge_direct",4,False
45153999_10_M,3,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
45153999_10_M,4,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
45153999_10_M,5,"hgb_direct,lightgbm_direct,seasonal_naive,stl_ridge_direct",4,True
45153999_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
45153999_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
46250043_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
46250043_10_M,2,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
46250043_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
46250043_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
46250043_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
46250043_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
46250043_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
46263999_10_M,1,"sarima,seasonal_naive,stl_ridge_direct",3,False
46263999_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
46263999_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
46263999_10_M,4,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
46263999_10_M,5,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
46263999_10_M,6,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
46263999_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
50008001_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
50008001_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
50008001_10_M,3,"hgb_direct,lightgbm_direct,sarima,seasonal_naive,stl_ridge_direct",5,True
50008001_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
50008001_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
50008001_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
50008001_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
