model,total_cells,rule_a_n,rule_b_n,discordant_n,mean_skill,mean_alpha,mean_recall_p75,rho_alpha_skill
hgb_direct,119,111,1,54,0.1918,0.1829,0.2688,-0.788
lightgbm_direct,119,111,1,52,0.1927,0.1685,0.2664,-0.78
ridge_direct,119,117,1,43,0.2063,0.1334,0.2097,-0.814
sarima,119,44,1,4,0.1999,0.1525,0.1559,-0.016
seasonal_naive,119,5,5,0,-0.0943,1.0024,0.3262,-0.298
stl_ridge_direct,119,0,0,0,-1.0822,1.4172,0.9838,-0.53
