station_id,horizon,conv_before,conv_after,conv_changed,fid_before,fid_after,fid_changed,rule_change_bef,rule_change_aft,skill_conv_aft,alpha_conv_aft,skill_fid_aft,alpha_fid_aft,rmse_cost_fid,alpha_gain_fid
08019045_10_M,6,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2358624863847505,0.0368235896488206,0.0,0.0,,
08019045_10_M,7,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2329908239005792,0.0339551103942123,0.0,0.0,,
08019052_10_M,1,ridge_direct,lightgbm_direct,True,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1009825966037864,0.4418806728529954,0.0,0.0,,
08019052_10_M,2,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1671060445667238,0.1886691901511851,0.0,0.0,,
08019052_10_M,3,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.3635306557978943,0.2966304018433697,0.0,0.0,,
08019052_10_M,4,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.3327437167071805,0.1149175062786864,0.0,0.0,,
08019052_10_M,5,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2089065771095802,0.0737490248027839,0.0,0.0,,
08019052_10_M,6,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2719703049404761,0.0666365630513324,0.0,0.0,,
08019052_10_M,7,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.3268401965305357,0.1057172624870537,0.0,0.0,,
08019054_10_M,1,ridge_direct,ridge_direct,False,ridge_direct,ridge_direct,False,False,False,0.0899674181183064,0.5024007945076104,0.0899674181183064,0.5024007945076104,0.0,0.0
08019054_10_M,2,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1619833464910797,0.2148681236988795,0.0,0.0,,
08019054_10_M,3,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2048635621429519,0.1036284494035679,0.0,0.0,,
08019054_10_M,4,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2359319290957044,0.0640560352918663,0.0,0.0,,
08019054_10_M,5,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2418495686973673,0.0520849594053753,0.0,0.0,,
08019054_10_M,6,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2394442363308918,0.0524299312809306,0.0,0.0,,
08019054_10_M,7,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.243312278413993,0.0476823269101211,0.0,0.0,,
08263007_10_M,1,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1041602467073767,0.3327788550361783,0.0,0.0,,
08263007_10_M,2,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.19405822779013,0.1798831418911527,0.0,0.0,,
08263007_10_M,3,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.191857435364914,0.1421666841035241,0.0,0.0,,
08263007_10_M,4,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2005978354559584,0.1077907044929924,0.0,0.0,,
08263007_10_M,5,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2067350474146534,0.0997394380175426,0.0,0.0,,
08263007_10_M,6,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.26069363016219,0.051751262299468,0.0,0.0,,
08263007_10_M,7,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2103560636531474,0.0971770815963663,0.0,0.0,,
22125001_10_M,1,ridge_direct,ridge_direct,False,hgb_direct,lightgbm_direct,True,True,True,0.0899913882371304,0.4947090084535672,0.0676014574725132,0.538621010142039,0.022389930764617205,0.04391200168847181
22125001_10_M,2,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1625051073504467,0.1926319858321604,0.0,0.0,,
22125001_10_M,3,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1982633813027889,0.1053565420650167,0.0,0.0,,
22125001_10_M,4,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2298152657230086,0.0559295031790735,0.0,0.0,,
22125001_10_M,5,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.3339968187699137,0.0490197138362109,0.0,0.0,,
22125001_10_M,6,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.3371266868999995,0.0305963277156596,0.0,0.0,,
22125001_10_M,7,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2484886052354199,0.0240964653584172,0.0,0.0,,
43004005_10_M,1,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1043771266752907,0.415793107156367,0.0,0.0,,
43004005_10_M,2,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1737851287279077,0.1709816964203485,0.0,0.0,,
43004005_10_M,3,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1895872857958079,0.0985308889047165,0.0,0.0,,
43004005_10_M,4,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2203488841826861,0.0491729863008958,0.0,0.0,,
43004005_10_M,5,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2343299165213771,0.0326642324711901,0.0,0.0,,
43004005_10_M,6,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2296002117316347,0.0305645436182837,0.0,0.0,,
43004005_10_M,7,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2419475603259524,0.026375047385708,0.0,0.0,,
43004006_10_M,1,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1732234237266809,0.400901661898133,0.0,0.0,,
43004006_10_M,2,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.204680525336187,0.1267397598758236,0.0,0.0,,
43004006_10_M,3,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2213798303652635,0.0878895256467329,0.0,0.0,,
43004006_10_M,4,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2783017057520477,0.0296646388285738,0.0,0.0,,
43004006_10_M,5,sarima,sarima,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.3046558772964027,0.0182730867821913,0.0,0.0,,
43004006_10_M,6,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.232453240995234,0.045750489520756,0.0,0.0,,
43004006_10_M,7,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2380460713536182,0.0356362152008328,0.0,0.0,,
44013007_10_M,1,hgb_direct,lightgbm_direct,True,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.1784511861465981,0.2502702325132095,0.0,0.0,,
44013007_10_M,2,ridge_direct,ridge_direct,False,NO_ELIGIBLE_MODEL,NO_ELIGIBLE_MODEL,False,True,True,0.2664130977185105,0.1072560413397015,0.0,0.0,,
44013007_10_M,3,ridge_direct,ridge_direct,False,seasonal_naive,seasonal_naive,False,True,True,0.2881627091350546,0.1066452379078153,0.1146749843368366,0.958138617666905,0.173487724798218,0.8514933797590897
