station,horizon,model,n_cases,threshold,skill,csi,hit_rate,false_alarm_rate,precision,event_bias,exceedance_intensity_error
Elche,1,hgb_direct,1274,23.0,0.054543204783526256,0.347926267281106,0.5101351351351351,0.1411042944785276,0.5224913494809689,0.9763513513513513,-9.344369979604158
Elche,1,ridge_direct,1274,23.0,0.10682430525706854,0.29081632653061223,0.38513513513513514,0.09815950920245399,0.5428571428571428,0.7094594594594594,-10.122466139893016
Elche,2,hgb_direct,1251,23.0,0.20741804302376743,0.20044543429844097,0.30612244897959184,0.1619644723092999,0.3673469387755102,0.8333333333333334,-12.588545414819125
Elche,2,ridge_direct,1251,23.0,0.2264146319696041,0.14080459770114942,0.16666666666666666,0.05642633228840126,0.47572815533980584,0.35034013605442177,-13.135724722076207
Elche,3,hgb_direct,1241,23.0,0.23588907780918333,0.16515837104072398,0.24829931972789115,0.1562829989440338,0.33031674208144796,0.7517006802721088,-13.542021501253615
Elche,3,ridge_direct,1241,23.0,0.2578848238331962,0.07761194029850746,0.08843537414965986,0.04329461457233368,0.3880597014925373,0.22789115646258504,-13.890214161156702
Elche,4,hgb_direct,1234,23.0,0.24214639737911514,0.14782608695652175,0.22895622895622897,0.17395944503735325,0.2943722943722944,0.7777777777777778,-13.938974259189994
Elche,4,ridge_direct,1234,23.0,0.27150634885489555,0.05029585798816568,0.05723905723905724,0.04375667022411953,0.29310344827586204,0.19528619528619529,-14.065232917228597
Elche,5,hgb_direct,1228,23.0,0.2536119461106551,0.13876651982378854,0.21070234113712374,0.1668460710441335,0.2889908256880734,0.7290969899665551,-14.056132046600013
Elche,5,ridge_direct,1228,23.0,0.2781987813347364,0.06784660766961652,0.07692307692307693,0.04305705059203445,0.36507936507936506,0.21070234113712374,-13.910882815972956
Elche,6,hgb_direct,1224,23.0,0.25087626624283277,0.1280353200883002,0.19528619528619529,0.16828478964401294,0.27102803738317754,0.7205387205387206,-14.116628998172809
Elche,6,ridge_direct,1224,23.0,0.28003792705339026,0.10227272727272728,0.12121212121212122,0.0593311758360302,0.3956043956043956,0.3063973063973064,-13.747691065513852
Elche,7,hgb_direct,1215,23.0,0.2378516414402604,0.10738255033557047,0.1643835616438356,0.16793066088840736,0.23645320197044334,0.6952054794520548,-14.362906822328945
Elche,7,ridge_direct,1215,23.0,0.27172681575022173,0.10755813953488372,0.1267123287671233,0.056338028169014086,0.4157303370786517,0.3047945205479452,-13.82819090270829
