punto,n_days,valid_days,coverage,n_years,date_min,date_max
07044001_10_49,2922,1327,0.454,4,2017-01-01,2024-12-31
07042001_10_49,2191,993,0.453,3,2017-01-01,2022-12-31
08102005_10_M,365,165,0.452,1,2017-01-01,2017-12-31
07032002_10_49,2922,1322,0.452,4,2017-01-01,2024-12-31
03014009_10_46,2922,1321,0.452,4,2017-01-01,2024-12-31
08279014_10_M,1064,480,0.451,3,2017-02-01,2019-12-31
07026001_10_49,2922,1318,0.451,4,2017-01-01,2024-12-31
08283004_10_M,2192,987,0.45,6,2019-01-01,2024-12-31
31010001_10_49,2922,1312,0.449,4,2017-01-01,2024-12-31
20069004_10_47,2922,1313,0.449,4,2017-01-01,2024-12-31
14047001_10_49,2191,981,0.448,3,2017-01-01,2022-12-31
35024001_10_49,2922,1307,0.447,4,2017-01-01,2024-12-31
38038012_10_46,2922,1303,0.446,4,2017-01-01,2024-12-31
12009007_10_46,2922,1302,0.446,4,2017-01-01,2024-12-31
21041016_10_49,2922,1300,0.445,4,2017-01-01,2024-12-31
07040006_10_47,2922,1301,0.445,4,2017-01-01,2024-12-31
17027002_10_M,485,216,0.445,2,2017-01-01,2018-04-30
08089005_10_M,2922,1296,0.444,8,2017-01-01,2024-12-31
12028001_10_46,2922,1297,0.444,4,2017-01-01,2024-12-31
12032005_10_M,2922,1288,0.441,8,2017-01-01,2024-12-31
38038021_10_49,2922,1290,0.441,4,2017-01-01,2024-12-31
38009001_10_49,2922,1286,0.44,4,2017-01-01,2024-12-31
46028001_10_46,2922,1283,0.439,4,2017-01-01,2024-12-31
20040001_10_47,2922,1281,0.438,4,2017-01-01,2024-12-31
08112003_10_M,2556,1120,0.438,6,2017-01-01,2023-12-31
50297036_10_49,2922,1277,0.437,4,2017-01-01,2024-12-31
12005005_10_49,2922,1278,0.437,4,2017-01-01,2024-12-31
30016021_10_47,2922,1272,0.435,4,2017-01-01,2024-12-31
11028001_10_49,2922,1267,0.434,4,2017-01-01,2024-12-31
08169009_10_M,2922,1265,0.433,8,2017-01-01,2024-12-31
11020003_10_49,2922,1257,0.43,4,2017-01-01,2024-12-31
08301004_10_M,2922,1250,0.428,8,2017-01-01,2024-12-31
12135004_10_M,2922,1252,0.428,8,2017-01-01,2024-12-31
08136003_10_M,2556,1088,0.426,7,2017-01-01,2023-12-31
28079056_10_47,2557,1083,0.424,3,2018-01-01,2024-12-31
30030007_10_49,2922,1226,0.42,4,2017-01-01,2024-12-31
38011006_10_A,2557,1073,0.42,3,2018-01-01,2024-12-31
11031001_10_49,1096,459,0.419,2,2022-01-01,2024-12-31
38038025_10_46,2922,1225,0.419,4,2017-01-01,2024-12-31
21041008_10_49,2922,1219,0.417,4,2017-01-01,2024-12-31
32032001_10_49,2557,1064,0.416,3,2018-01-01,2024-12-31
36024001_10_49,2557,1061,0.415,3,2018-01-01,2024-12-31
07040002_10_49,2922,1207,0.413,4,2017-01-01,2024-12-31
46250047_10_46,2922,1182,0.405,4,2017-01-01,2024-12-31
07040003_10_49,2922,1155,0.395,4,2017-01-01,2024-12-31
33031030_10_49,2498,984,0.394,3,2018-03-01,2024-12-31
41088001_10_M,2191,839,0.383,6,2017-01-01,2022-12-31
50297040_10_49,2498,953,0.382,3,2018-03-01,2024-12-31
35016011_10_49,2922,1095,0.375,4,2017-01-01,2024-12-31
41091016_10_M,1461,546,0.374,4,2019-01-01,2022-12-31
24025001_10_49,2557,957,0.374,3,2018-01-01,2024-12-31
07010001_10_47,2922,1092,0.374,4,2017-01-01,2024-12-31
08283003_10_M,730,271,0.371,2,2017-01-01,2018-12-31
07003001_10_49,2922,1083,0.371,4,2017-01-01,2024-12-31
33004048_10_49,2922,1077,0.369,3,2017-01-01,2024-12-31
08252002_10_M,730,266,0.364,2,2017-01-01,2018-12-31
46250030_10_46,2922,1065,0.364,3,2017-01-01,2024-12-31
09209001_10_49,2557,930,0.364,3,2018-01-01,2024-12-31
43171001_10_M,1461,531,0.363,3,2017-01-01,2020-12-31
08184007_10_M,1095,389,0.355,3,2017-01-01,2019-12-31
08114006_10_M,1216,432,0.355,3,2017-01-01,2020-04-30
11004007_10_49,2922,1027,0.351,3,2017-01-01,2024-12-31
21041010_10_49,2557,889,0.348,3,2018-01-01,2024-12-31
18021001_10_49,2922,1013,0.347,3,2017-01-01,2024-12-31
46077006_10_46,2922,1011,0.346,3,2017-01-01,2024-12-31
11020004_10_49,2557,880,0.344,3,2018-01-01,2024-12-31
08077002_10_M,730,250,0.342,2,2017-01-01,2018-12-31
21050003_10_49,2922,997,0.341,3,2017-01-01,2024-12-31
46244003_10_46,1096,370,0.338,2,2022-01-01,2024-12-31
38038010_10_49,2922,986,0.337,4,2017-01-01,2024-12-31
08298009_10_M,365,123,0.337,1,2017-01-01,2017-12-31
21064002_10_49,2922,980,0.335,3,2017-01-01,2024-12-31
29032001_10_M,2922,973,0.333,8,2017-01-01,2024-12-31
23097001_10_M,2191,703,0.321,6,2017-01-01,2022-12-31
11008001_10_M,1461,459,0.314,4,2019-01-01,2022-12-31
24134006_10_M,334,103,0.308,1,2021-02-01,2021-12-31
21041012_10_49,2557,779,0.305,3,2018-01-01,2024-12-31
41004006_10_M,2191,663,0.303,6,2017-01-01,2022-12-31
50297032_10_49,2922,884,0.303,3,2017-01-01,2024-12-31
23050003_10_M,2191,658,0.3,6,2017-01-01,2022-12-31
23010002_10_M,2191,655,0.299,6,2017-01-01,2022-12-31
14021007_10_M,2191,648,0.296,6,2017-01-01,2022-12-31
04032005_10_M,2191,641,0.293,6,2017-01-01,2022-12-31
29067006_10_M,2191,641,0.293,6,2017-01-01,2022-12-31
04013004_10_M,2191,638,0.291,6,2017-01-01,2022-12-31
18087007_10_M,2191,630,0.288,6,2017-01-01,2022-12-31
08022005_10_M,730,208,0.285,2,2017-01-01,2018-12-31
21050001_10_M,2191,625,0.285,6,2017-01-01,2022-12-31
41091009_10_M,2191,617,0.282,6,2017-01-01,2022-12-31
46242001_10_M,2922,814,0.279,8,2017-01-01,2024-12-31
11031001_10_M,2191,610,0.278,6,2017-01-01,2022-12-31
41091015_10_M,2191,599,0.273,6,2017-01-01,2022-12-31
14021006_10_M,2191,594,0.271,6,2017-01-01,2022-12-31
29067007_10_M,2191,589,0.269,6,2017-01-01,2022-12-31
18087010_10_M,2191,589,0.269,6,2017-01-01,2022-12-31
14021009_10_M,2191,590,0.269,6,2017-01-01,2022-12-31
14068001_10_M,2556,685,0.268,7,2017-01-01,2023-12-31
29067005_10_M,2191,585,0.267,6,2017-01-01,2022-12-31
11022005_10_M,2191,580,0.265,6,2017-01-01,2022-12-31
14026002_10_M,2191,580,0.265,6,2017-01-01,2022-12-31
11012002_10_M,2191,569,0.26,6,2017-01-01,2022-12-31
11008009_10_M,2191,568,0.259,6,2017-01-01,2022-12-31
21055004_10_M,730,187,0.256,2,2021-01-01,2022-12-31
04022001_10_M,2191,552,0.252,6,2017-01-01,2022-12-31
04024001_10_M,1826,443,0.243,5,2017-01-01,2021-12-31
11026001_10_49,2922,639,0.219,2,2017-01-01,2024-12-31
03133002_10_M,730,149,0.204,2,2017-01-01,2018-12-31
21005002_10_M,2191,431,0.197,6,2017-01-01,2022-12-31
46062001_10_46,2922,431,0.148,4,2017-01-01,2024-12-31
46184002_10_46,2922,402,0.138,4,2017-01-01,2024-12-31
46256001_10_46,2922,396,0.136,4,2017-01-01,2024-12-31
07040003_10_M,365,49,0.134,1,2017-01-01,2017-12-31
04066007_10_M,2556,339,0.133,6,2017-01-01,2023-12-31
29069002_10_M,1461,165,0.113,2,2017-01-01,2020-12-31
46244003_10_M,365,16,0.044,1,2017-01-01,2017-12-31
