station_id,provincia,municipio,estacion,source_years_present,usable_years_300_days_at_75pct,overall_coverage_fraction,metadata_conflict_flag,included_under_proposed_contract,exclusion_reasons
38006002_10_46,38,6,2,3,3,0.7338866073465663,NO,NO,overall_hourly_coverage_below_0.75
38006003_10_46,38,6,3,4,4,0.9764715947980835,NO,YES,
38008001_10_49,38,8,1,4,4,0.968885466575405,NO,YES,
38009001_10_49,38,9,1,3,2,0.6776180698151951,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
38011004_10_49,38,11,4,4,4,0.9760152863335615,NO,YES,
38011005_10_49,38,11,5,4,4,0.981776180698152,NO,YES,
38011006_10_A,38,11,6,4,4,0.9770990189368013,NO,YES,
38011007_10_49,38,11,7,4,4,0.971623317362537,NO,YES,
38017001_10_46,38,17,1,4,4,0.9775838466803559,NO,YES,
38017002_10_46,38,17,2,4,4,0.9833447410449464,NO,YES,
38017003_10_46,38,17,3,4,4,0.9749315537303217,NO,YES,
38024001_10_46,38,24,1,1,0,0.06533766826374629,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
38031001_10_49,38,31,1,4,2,0.7115845311430528,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
38033001_10_49,38,33,1,4,4,0.9306981519507187,NO,YES,
38036001_10_49,38,36,1,4,4,0.929528861510381,NO,YES,
38036002_10_49,38,36,2,4,4,0.9816335843029889,NO,YES,
38037001_10_49,38,37,1,4,4,0.9700547570157426,NO,YES,
38038010_10_49,38,38,10,4,2,0.7336299338352726,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
38038012_10_46,38,38,12,4,4,0.9585329682865618,NO,YES,
38038021_10_49,38,38,21,4,4,0.9633242071640429,NO,YES,
38038022_10_46,38,38,22,4,3,0.9056867442391057,NO,YES,
38038023_10_49,38,38,23,4,4,0.9508327629477527,NO,YES,
38038024_10_49,38,38,24,4,2,0.825347935204198,NO,NO,fewer_than_3_years_with_300_usable_days
38038025_10_46,38,38,25,4,4,0.9567932922655715,NO,YES,
38038026_10_46,38,38,26,4,3,0.9110198494182067,NO,YES,
38038027_10_49,38,38,27,4,3,0.8978724617841661,NO,YES,
38048001_10_49,38,48,1,4,4,0.9036048368697239,NO,YES,
39008001_10_49,39,8,1,4,4,0.9925564681724846,NO,YES,
39016003_10_49,39,16,3,4,4,0.9837154916723705,NO,YES,
39020001_10_49,39,20,1,4,4,0.9727355692448095,NO,YES,
39025001_10_49,39,25,1,4,4,0.9733915126625599,NO,YES,
39059001_10_49,39,59,1,4,4,0.9865103810175678,NO,YES,
39075005_10_49,39,75,5,4,4,0.9891056354095369,NO,YES,
39075006_10_49,39,75,6,4,4,0.9843999543691535,NO,YES,
39086001_10_49,39,86,1,4,4,0.9808635637691079,NO,YES,
39087003_10_49,39,87,3,4,4,0.9751026694045175,NO,YES,
39087004_10_49,39,87,4,4,4,0.9810631987223363,NO,YES,
39087005_10_49,39,87,5,4,4,0.9912445813369838,NO,YES,
40194002_10_49,40,194,2,4,4,0.9886208076659821,NO,YES,
41004006_10_49,41,4,6,4,4,0.9529717088751997,NO,YES,
41049001_10_49,41,49,1,4,4,0.9468115446041524,NO,YES,
41059001_10_49,41,59,1,4,3,0.9027207392197125,NO,YES,
41088001_10_49,41,88,1,4,4,0.9047170887519963,NO,YES,
41091009_10_49,41,91,9,4,4,0.9469826602783482,NO,YES,
41091015_10_49,41,91,15,4,3,0.8970739219712526,NO,YES,
41091016_10_49,41,91,16,4,4,0.9929557380789413,NO,YES,
41091018_10_49,41,91,18,3,3,0.7306068902578143,NO,NO,overall_hourly_coverage_below_0.75
42124001_10_49,42,124,1,2,2,0.43303673283139404,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
42173001_10_49,42,173,1,4,4,0.9869666894820899,NO,YES,
43123005_10_47,43,123,5,4,4,0.9609285877253023,NO,YES,
45081004_10_49,45,81,4,4,4,0.9415925165411818,NO,YES,
45165003_10_49,45,165,3,2,2,0.4495493953912845,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
45165004_10_49,45,165,4,3,2,0.5177675108373261,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
45168002_10_49,45,168,2,4,4,0.9453285420944558,NO,YES,
45200001_10_49,45,200,1,3,2,0.5222165183664157,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46010001_10_46,46,10,1,4,4,0.8987565594341775,NO,YES,
46028001_10_46,46,28,1,4,3,0.8859228838694958,NO,YES,
46062001_10_46,46,62,1,4,0,0.27843372119552817,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46077006_10_46,46,77,6,3,1,0.46851471594798083,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46095001_10_46,46,95,1,4,4,0.9532569016655259,NO,YES,
46102002_10_46,46,102,2,4,4,0.9714236824093087,NO,YES,
46184002_10_46,46,184,2,4,0,0.2724161533196441,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46220003_10_46,46,220,3,4,4,0.9446725986767055,NO,YES,
46220010_10_46,46,220,10,4,4,0.9811487565594342,NO,YES,
46244003_10_46,46,244,3,3,0,0.24264202600958248,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46250030_10_46,46,250,30,4,4,0.9821184120465435,NO,YES,
46250046_10_46,46,250,46,4,4,0.9373146246862879,NO,YES,
46250047_10_46,46,250,47,4,4,0.9444729637234771,NO,YES,
46250048_10_46,46,250,48,4,4,0.956222906684919,NO,YES,
46250054_10_46,46,250,54,3,3,0.704083960757472,NO,NO,overall_hourly_coverage_below_0.75
46250055_10_46,46,250,55,1,1,0.2478325347935204,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46256001_10_46,46,256,1,4,0,0.2898414328085786,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
46258001_10_46,46,258,1,4,4,0.9697410449463838,NO,YES,
47085003_10_49,47,85,3,4,3,0.8817305498516997,NO,YES,
47186023_10_49,47,186,23,2,2,0.4891626739676021,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
47186024_10_49,47,186,24,2,2,0.4756160164271047,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
47186027_10_49,47,186,27,4,4,0.9152407027150353,NO,YES,
47186029_10_49,47,186,29,4,4,0.9342060232717317,NO,YES,
47186030_10_49,47,186,30,4,4,0.9494067989961213,NO,YES,
47186031_10_49,47,186,31,4,4,0.9591603924252795,NO,YES,
48002001_10_47,48,2,1,4,4,0.9684861966689482,NO,YES,
48002002_10_49,48,2,2,3,3,0.7400182523385809,NO,NO,overall_hourly_coverage_below_0.75
48003001_10_49,48,3,1,3,3,0.7353410905772302,NO,NO,overall_hourly_coverage_below_0.75
48013006_10_47,48,13,6,4,3,0.8700946840063883,NO,YES,
48015002_10_49,48,15,2,4,4,0.9830310289755875,NO,YES,
48020003_10_47,48,20,3,4,4,0.9824321241159023,NO,YES,
48020006_10_47,48,20,6,4,4,0.9279032626055214,NO,YES,
48020062_10_49,48,20,62,4,4,0.9877081907369382,NO,YES,
48020066_10_49,48,20,66,3,2,0.644678302532512,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
48027001_10_47,48,27,1,4,3,0.9180070727812001,NO,YES,
48044006_10_49,48,44,6,3,3,0.7207107004334931,NO,NO,overall_hourly_coverage_below_0.75
48068001_10_47,48,68,1,4,4,0.9739333789641798,NO,YES,
48071002_10_47,48,71,2,4,4,0.9688284280173397,NO,YES,
48071004_10_49,48,71,4,3,3,0.7378507871321013,NO,NO,overall_hourly_coverage_below_0.75
48082004_10_49,48,82,4,3,3,0.7370522473191877,NO,NO,overall_hourly_coverage_below_0.75
48096001_10_49,48,96,1,4,4,0.9793235227013461,NO,YES,
48902006_10_49,48,902,6,4,4,0.9502053388090349,NO,YES,
48904002_10_47,48,904,2,4,4,0.9822895277207392,NO,YES,
48913001_10_49,48,913,1,3,2,0.6351813826146475,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
49275002_10_49,49,275,2,4,4,0.978410905772302,NO,YES,
50297029_10_49,50,297,29,4,4,0.9691421400866986,NO,YES,
50297032_10_49,50,297,32,4,4,0.9386265115217888,NO,YES,
50297036_10_49,50,297,36,4,3,0.9100501939310974,NO,YES,
50297037_10_49,50,297,37,3,3,0.6947866757928359,NO,NO,overall_hourly_coverage_below_0.75
50297039_10_49,50,297,39,4,3,0.8261179557380789,NO,YES,
50297040_10_49,50,297,40,4,4,0.9740189368012777,NO,YES,
51001001_10_49,51,1,1,4,4,0.9666894820898928,NO,YES,
52001002_10_A,52,1,2,1,1,0.24677732146931325,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
