station_id,provincia,municipio,estacion,source_years_present,usable_years_300_days_at_75pct,overall_coverage_fraction,metadata_conflict_flag,included_under_proposed_contract,exclusion_reasons
11026001_10_49,11,26,1,2,1,0.4148414328085786,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
11028001_10_49,11,28,1,4,3,0.9197467488021903,NO,YES,
11031001_10_49,11,31,1,4,2,0.8202144649783254,NO,NO,fewer_than_3_years_with_300_usable_days
11033003_10_49,11,33,3,1,1,0.21537759525439196,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
11033004_10_49,11,33,4,4,4,0.9484371435090121,NO,YES,
12005005_10_49,12,5,5,4,3,0.8851813826146475,NO,YES,
12009007_10_46,12,9,7,4,3,0.9013518138261465,NO,YES,
12028001_10_46,12,28,1,4,4,0.9140143737166324,NO,YES,
12032001_10_46,12,32,1,4,4,0.9522302076203514,NO,YES,
12040008_10_46,12,40,8,4,4,0.9794946383755418,NO,YES,
12040010_10_46,12,40,10,4,4,0.9570784850558978,NO,YES,
12040020_10_46,12,40,20,2,2,0.4911305042208533,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
12140002_10_46,12,140,2,4,4,0.9329511749942961,NO,YES,
12141002_10_46,12,141,2,4,3,0.9263917408167921,NO,YES,
13034002_10_49,13,34,2,4,4,0.9528291124800365,NO,YES,
13071015_10_49,13,71,15,4,4,0.9694558521560575,NO,YES,
13071017_10_49,13,71,17,4,4,0.9664042892995665,NO,YES,
14021006_10_49,14,21,6,4,4,0.979865389002966,NO,YES,
14021007_10_49,14,21,7,4,4,0.970254391968971,NO,YES,
14021009_10_49,14,21,9,4,4,0.9628964179785535,NO,YES,
14026002_10_49,14,26,2,4,3,0.7937485740360484,NO,YES,
14047001_10_49,14,47,1,3,3,0.6899669176363221,NO,NO,overall_hourly_coverage_below_0.75
15005011_10_47,15,5,11,4,4,0.9918149669176364,NO,YES,
15005014_10_49,15,5,14,4,3,0.8590006844626967,NO,YES,
15005015_10_A,15,5,15,2,2,0.4952657996805841,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15023004_10_47,15,23,4,4,4,0.9915582934063427,NO,YES,
15024001_10_47,15,24,1,2,2,0.4909023499885923,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15026001_10_47,15,26,1,2,2,0.4816906228610541,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15030001_10_49,15,30,1,2,2,0.44992014601870867,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15030021_10_47,15,30,21,4,4,0.9930412959160393,NO,YES,
15030027_10_49,15,30,27,4,4,0.9743611681496692,NO,YES,
15030028_10_49,15,30,28,4,4,0.9893908281998631,NO,YES,
15032001_10_46,15,32,1,4,4,0.9644649783253479,NO,YES,
15034008_10_47,15,34,8,4,4,0.9881074606433949,NO,YES,
15036003_10_49,15,36,3,4,4,0.9722222222222222,NO,YES,
15036004_10_47,15,36,4,4,4,0.9911590234998859,NO,YES,
15041001_10_47,15,41,1,4,4,0.9859399954369154,NO,YES,
15055003_10_49,15,55,3,2,2,0.49110198494182067,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15055003_10_A,15,55,3,2,2,0.49426762491444215,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15059002_10_47,15,59,2,2,2,0.47997946611909653,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
15070002_10_47,15,70,2,4,4,0.9637234770704997,NO,YES,
15070006_10_47,15,70,6,4,3,0.9005247547342004,NO,YES,
15078005_10_49,15,78,5,4,4,0.9727355692448095,NO,YES,
15078007_10_49,15,78,7,4,4,0.972393337896418,NO,YES,
15078008_10_49,15,78,8,4,4,0.960871549167237,NO,YES,
16078001_10_49,16,78,1,4,4,0.9439881359799225,NO,YES,
18021001_10_49,18,21,1,4,3,0.8870066164727356,NO,YES,
18087007_10_49,18,87,7,4,4,0.9935261236595939,NO,YES,
18087010_10_49,18,87,10,4,4,0.9801220625142596,NO,YES,
18140001_10_49,18,140,1,4,4,0.9158396075747205,NO,YES,
19130001_10_49,19,130,1,4,4,0.9695984485512206,NO,YES,
20009001_10_49,20,9,1,3,3,0.7359685147159479,NO,NO,overall_hourly_coverage_below_0.75
20016001_10_47,20,16,1,4,4,0.9462981975815652,NO,YES,
20018001_10_47,20,18,1,4,4,0.976585671914214,NO,YES,
20019001_10_49,20,19,1,4,4,0.981776180698152,NO,YES,
20040001_10_47,20,40,1,4,4,0.9808635637691079,NO,YES,
20055001_10_47,20,55,1,4,4,0.9821184120465435,NO,YES,
20069002_10_49,20,69,2,4,4,0.979637234770705,NO,YES,
20069004_10_47,20,69,4,4,4,0.9397672826830937,NO,YES,
20069005_10_47,20,69,5,4,4,0.9360027378507871,NO,YES,
20069006_10_46,20,69,6,3,3,0.7316050650239562,NO,NO,overall_hourly_coverage_below_0.75
20069006_10_47,20,69,6,1,1,0.24284166096281087,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
20069007_10_49,20,69,7,3,3,0.7412445813369838,NO,NO,overall_hourly_coverage_below_0.75
20071001_10_47,20,71,1,4,4,0.9781257129819758,NO,YES,
20073001_10_49,20,73,1,3,3,0.7408738307095597,NO,NO,overall_hourly_coverage_below_0.75
20080001_10_49,20,80,1,4,4,0.9917008898015058,NO,YES,
20902001_10_49,20,902,1,3,2,0.6835785991330139,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
21005002_10_49,21,5,2,4,3,0.8693246634725074,NO,YES,
21041008_10_49,21,41,8,4,3,0.8621378051562857,NO,YES,
21041010_10_49,21,41,10,4,2,0.8493611681496692,NO,NO,fewer_than_3_years_with_300_usable_days
21041012_10_49,21,41,12,4,2,0.7116415697011179,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
21041015_10_49,21,41,15,4,2,0.8615103810175678,NO,NO,fewer_than_3_years_with_300_usable_days
21041016_10_49,21,41,16,4,4,0.8895448323066393,NO,YES,
21041017_10_49,21,41,17,4,4,0.9217716176135067,NO,YES,
21050001_10_49,21,50,1,4,3,0.8427161761350673,NO,YES,
21050003_10_49,21,50,3,2,0,0.2871891398585444,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
21053003_10_49,21,53,3,4,2,0.8270590919461556,NO,NO,fewer_than_3_years_with_300_usable_days
21055004_10_49,21,55,4,4,4,0.9247376226328998,NO,YES,
21055005_10_49,21,55,5,4,1,0.808122290668492,NO,NO,fewer_than_3_years_with_300_usable_days
21055007_10_49,21,55,7,4,4,0.9142140086698608,NO,YES,
21060002_10_49,21,60,2,4,4,0.8871492128678987,NO,YES,
21064002_10_49,21,64,2,4,3,0.9008384668035592,NO,YES,
23010002_10_49,23,10,2,4,4,0.9801791010723249,NO,YES,
23050003_10_49,23,50,3,4,4,0.9696554871092858,NO,YES,
23097001_10_49,23,97,1,4,4,0.9699977184576773,NO,YES,
24025001_10_49,24,25,1,3,2,0.47247889573351587,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
24038001_10_47,24,38,1,4,4,0.9632956878850103,NO,YES,
24057003_10_47,24,57,3,1,0,0.13863221537759526,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
24061001_10_49,24,61,1,1,1,0.23847821127081908,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
24064001_10_49,24,64,1,2,1,0.42584987451517226,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
24089006_10_49,24,89,6,4,4,0.9782968286561716,NO,YES,
24089010_10_49,24,89,10,4,4,0.9790098106319872,NO,YES,
24115015_10_49,24,115,15,3,3,0.7363963039014374,NO,NO,overall_hourly_coverage_below_0.75
24115017_10_49,24,115,17,1,1,0.21032968286561715,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
24134006_10_49,24,134,6,4,4,0.9900182523385809,NO,YES,
24134007_10_54,24,134,7,2,2,0.4575347935204198,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
24181001_10_49,24,181,1,4,3,0.8917408167921514,NO,YES,
24206001_10_47,24,206,1,2,2,0.49808920830481407,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
