station_id,horizon,expected_keys,xgboost_keys,sarima_keys,persistence_keys,common_keys,removed_keys,duplicate_xgboost_keys,duplicate_sarima_keys,y_true_mismatch_keys,y_persistence_mismatch_keys,reason
04022001_10_49,3,842,842,842,842,842,0,0,0,0,0,OK
04022001_10_49,4,837,837,837,837,837,0,0,0,0,0,OK
04022001_10_49,5,832,832,832,832,832,0,0,0,0,0,OK
04022001_10_49,6,829,829,829,829,829,0,0,0,0,0,OK
04022001_10_49,7,827,827,827,827,827,0,0,0,0,0,OK
04032005_10_49,all,5737,5737,5737,5737,5737,0,0,0,0,0,OK
04032005_10_49,1,829,829,829,829,829,0,0,0,0,0,OK
04032005_10_49,2,825,825,825,825,825,0,0,0,0,0,OK
04032005_10_49,3,822,822,822,822,822,0,0,0,0,0,OK
04032005_10_49,4,818,818,818,818,818,0,0,0,0,0,OK
04032005_10_49,5,815,815,815,815,815,0,0,0,0,0,OK
04032005_10_49,6,814,814,814,814,814,0,0,0,0,0,OK
04032005_10_49,7,814,814,814,814,814,0,0,0,0,0,OK
04902001_10_49,all,7026,7026,7026,7026,7026,0,0,0,0,0,OK
04902001_10_49,1,1012,1012,1012,1012,1012,0,0,0,0,0,OK
04902001_10_49,2,1008,1008,1008,1008,1008,0,0,0,0,0,OK
04902001_10_49,3,1005,1005,1005,1005,1005,0,0,0,0,0,OK
04902001_10_49,4,1003,1003,1003,1003,1003,0,0,0,0,0,OK
04902001_10_49,5,1001,1001,1001,1001,1001,0,0,0,0,0,OK
04902001_10_49,6,999,999,999,999,999,0,0,0,0,0,OK
04902001_10_49,7,998,998,998,998,998,0,0,0,0,0,OK
05019002_10_49,all,6988,6988,6988,6988,6988,0,0,0,0,0,OK
05019002_10_49,1,1004,1004,1004,1004,1004,0,0,0,0,0,OK
05019002_10_49,2,1002,1002,1002,1002,1002,0,0,0,0,0,OK
05019002_10_49,3,1000,1000,1000,1000,1000,0,0,0,0,0,OK
05019002_10_49,4,998,998,998,998,998,0,0,0,0,0,OK
05019002_10_49,5,996,996,996,996,996,0,0,0,0,0,OK
05019002_10_49,6,994,994,994,994,994,0,0,0,0,0,OK
05019002_10_49,7,994,994,994,994,994,0,0,0,0,0,OK
07003001_10_49,all,6715,6715,6715,6715,6715,0,0,0,0,0,OK
07003001_10_49,1,962,962,962,962,962,0,0,0,0,0,OK
07003001_10_49,2,961,961,961,961,961,0,0,0,0,0,OK
07003001_10_49,3,962,962,962,962,962,0,0,0,0,0,OK
07003001_10_49,4,960,960,960,960,960,0,0,0,0,0,OK
07003001_10_49,5,958,958,958,958,958,0,0,0,0,0,OK
07003001_10_49,6,957,957,957,957,957,0,0,0,0,0,OK
07003001_10_49,7,955,955,955,955,955,0,0,0,0,0,OK
07003004_10_49,all,6472,6472,6472,6472,6472,0,0,0,0,0,OK
07003004_10_49,1,930,930,930,930,930,0,0,0,0,0,OK
07003004_10_49,2,926,926,926,926,926,0,0,0,0,0,OK
07003004_10_49,3,926,926,926,926,926,0,0,0,0,0,OK
07003004_10_49,4,925,925,925,925,925,0,0,0,0,0,OK
07003004_10_49,5,923,923,923,923,923,0,0,0,0,0,OK
07003004_10_49,6,921,921,921,921,921,0,0,0,0,0,OK
07003004_10_49,7,921,921,921,921,921,0,0,0,0,0,OK
07015001_10_49,all,4504,4504,4504,4504,4504,0,0,0,0,0,OK
07015001_10_49,1,656,656,656,656,656,0,0,0,0,0,OK
07015001_10_49,2,649,649,649,649,649,0,0,0,0,0,OK
07015001_10_49,3,644,644,644,644,644,0,0,0,0,0,OK
07015001_10_49,4,641,641,641,641,641,0,0,0,0,0,OK
07015001_10_49,5,639,639,639,639,639,0,0,0,0,0,OK
07015001_10_49,6,638,638,638,638,638,0,0,0,0,0,OK
07015001_10_49,7,637,637,637,637,637,0,0,0,0,0,OK
07026001_10_49,all,5076,5076,5076,5076,5076,0,0,0,0,0,OK
07026001_10_49,1,734,734,734,734,734,0,0,0,0,0,OK
07026001_10_49,2,730,730,730,730,730,0,0,0,0,0,OK
07026001_10_49,3,726,726,726,726,726,0,0,0,0,0,OK
07026001_10_49,4,723,723,723,723,723,0,0,0,0,0,OK
07026001_10_49,5,723,723,723,723,723,0,0,0,0,0,OK
07026001_10_49,6,723,723,723,723,723,0,0,0,0,0,OK
07026001_10_49,7,717,717,717,717,717,0,0,0,0,0,OK
07032002_10_49,all,6550,6550,6550,6550,6550,0,0,0,0,0,OK
07032002_10_49,1,944,944,944,944,944,0,0,0,0,0,OK
07032002_10_49,2,940,940,940,940,940,0,0,0,0,0,OK
07032002_10_49,3,937,937,937,937,937,0,0,0,0,0,OK
07032002_10_49,4,935,935,935,935,935,0,0,0,0,0,OK
07032002_10_49,5,933,933,933,933,933,0,0,0,0,0,OK
07032002_10_49,6,931,931,931,931,931,0,0,0,0,0,OK
07032002_10_49,7,930,930,930,930,930,0,0,0,0,0,OK
07032003_10_49,all,6291,6291,6291,6291,6291,0,0,0,0,0,OK
07032003_10_49,1,904,904,904,904,904,0,0,0,0,0,OK
07032003_10_49,2,901,901,901,901,901,0,0,0,0,0,OK
07032003_10_49,3,897,897,897,897,897,0,0,0,0,0,OK
07032003_10_49,4,897,897,897,897,897,0,0,0,0,0,OK
07032003_10_49,5,897,897,897,897,897,0,0,0,0,0,OK
07032003_10_49,6,898,898,898,898,898,0,0,0,0,0,OK
07032003_10_49,7,897,897,897,897,897,0,0,0,0,0,OK
07040003_10_49,all,6586,6586,6586,6586,6586,0,0,0,0,0,OK
07040003_10_49,1,947,947,947,947,947,0,0,0,0,0,OK
07040003_10_49,2,943,943,943,943,943,0,0,0,0,0,OK
07040003_10_49,3,940,940,940,940,940,0,0,0,0,0,OK
07040003_10_49,4,940,940,940,940,940,0,0,0,0,0,OK
07040003_10_49,5,939,939,939,939,939,0,0,0,0,0,OK
07040003_10_49,6,939,939,939,939,939,0,0,0,0,0,OK
07040003_10_49,7,938,938,938,938,938,0,0,0,0,0,OK
07040006_10_47,all,4238,4238,4238,4238,4238,0,0,0,0,0,OK
07040006_10_47,1,613,613,613,613,613,0,0,0,0,0,OK
07040006_10_47,2,613,613,613,613,613,0,0,0,0,0,OK
07040006_10_47,3,614,614,614,614,614,0,0,0,0,0,OK
07040006_10_47,4,607,607,607,607,607,0,0,0,0,0,OK
07040006_10_47,5,599,599,599,599,599,0,0,0,0,0,OK
07040006_10_47,6,596,596,596,596,596,0,0,0,0,0,OK
07040006_10_47,7,596,596,596,596,596,0,0,0,0,0,OK
07042001_10_49,all,5749,5749,5749,5749,5749,0,0,0,0,0,OK
07042001_10_49,1,831,831,831,831,831,0,0,0,0,0,OK
07042001_10_49,2,826,826,826,826,826,0,0,0,0,0,OK
07042001_10_49,3,824,824,824,824,824,0,0,0,0,0,OK
07042001_10_49,4,822,822,822,822,822,0,0,0,0,0,OK
07042001_10_49,5,819,819,819,819,819,0,0,0,0,0,OK
07042001_10_49,6,816,816,816,816,816,0,0,0,0,0,OK
07042001_10_49,7,811,811,811,811,811,0,0,0,0,0,OK
07044001_10_49,all,6370,6370,6370,6370,6370,0,0,0,0,0,OK
07044001_10_49,1,918,918,918,918,918,0,0,0,0,0,OK
07044001_10_49,2,915,915,915,915,915,0,0,0,0,0,OK
07044001_10_49,3,910,910,910,910,910,0,0,0,0,0,OK
07044001_10_49,4,910,910,910,910,910,0,0,0,0,0,OK
07044001_10_49,5,908,908,908,908,908,0,0,0,0,0,OK
07044001_10_49,6,905,905,905,905,905,0,0,0,0,0,OK
07044001_10_49,7,904,904,904,904,904,0,0,0,0,0,OK
07046001_10_49,all,6518,6518,6518,6518,6518,0,0,0,0,0,OK
07046001_10_49,1,944,944,944,944,944,0,0,0,0,0,OK
07046001_10_49,2,937,937,937,937,937,0,0,0,0,0,OK
07046001_10_49,3,932,932,932,932,932,0,0,0,0,0,OK
07046001_10_49,4,928,928,928,928,928,0,0,0,0,0,OK
07046001_10_49,5,926,926,926,926,926,0,0,0,0,0,OK
07046001_10_49,6,926,926,926,926,926,0,0,0,0,0,OK
07046001_10_49,7,925,925,925,925,925,0,0,0,0,0,OK
07054001_10_47,all,5009,5009,5009,5009,5009,0,0,0,0,0,OK
07054001_10_47,1,721,721,721,721,721,0,0,0,0,0,OK
07054001_10_47,2,720,720,720,720,720,0,0,0,0,0,OK
07054001_10_47,3,716,716,716,716,716,0,0,0,0,0,OK
07054001_10_47,4,716,716,716,716,716,0,0,0,0,0,OK
07054001_10_47,5,713,713,713,713,713,0,0,0,0,0,OK
07054001_10_47,6,713,713,713,713,713,0,0,0,0,0,OK
07054001_10_47,7,710,710,710,710,710,0,0,0,0,0,OK
08096014_10_47,all,6180,6180,6180,6180,6180,0,0,0,0,0,OK
08096014_10_47,1,889,889,889,889,889,0,0,0,0,0,OK
08096014_10_47,2,883,883,883,883,883,0,0,0,0,0,OK
08096014_10_47,3,883,883,883,883,883,0,0,0,0,0,OK
08096014_10_47,4,881,881,881,881,881,0,0,0,0,0,OK
08096014_10_47,5,882,882,882,882,882,0,0,0,0,0,OK
08096014_10_47,6,882,882,882,882,882,0,0,0,0,0,OK
08096014_10_47,7,880,880,880,880,880,0,0,0,0,0,OK
08101001_10_47,all,6677,6677,6677,6677,6677,0,0,0,0,0,OK
08101001_10_47,1,960,960,960,960,960,0,0,0,0,0,OK
08101001_10_47,2,958,958,958,958,958,0,0,0,0,0,OK
08101001_10_47,3,955,955,955,955,955,0,0,0,0,0,OK
08101001_10_47,4,953,953,953,953,953,0,0,0,0,0,OK
08101001_10_47,5,951,951,951,951,951,0,0,0,0,0,OK
08101001_10_47,6,950,950,950,950,950,0,0,0,0,0,OK
08101001_10_47,7,950,950,950,950,950,0,0,0,0,0,OK
08184006_10_47,all,5897,5897,5897,5897,5897,0,0,0,0,0,OK
08184006_10_47,1,849,849,849,849,849,0,0,0,0,0,OK
08184006_10_47,2,846,846,846,846,846,0,0,0,0,0,OK
08184006_10_47,3,842,842,842,842,842,0,0,0,0,0,OK
08184006_10_47,4,842,842,842,842,842,0,0,0,0,0,OK
08184006_10_47,5,840,840,840,840,840,0,0,0,0,0,OK
08184006_10_47,6,839,839,839,839,839,0,0,0,0,0,OK
08184006_10_47,7,839,839,839,839,839,0,0,0,0,0,OK
08194008_10_47,all,6656,6656,6656,6656,6656,0,0,0,0,0,OK
08194008_10_47,1,958,958,958,958,958,0,0,0,0,0,OK
08194008_10_47,2,954,954,954,954,954,0,0,0,0,0,OK
08194008_10_47,3,950,950,950,950,950,0,0,0,0,0,OK
08194008_10_47,4,949,949,949,949,949,0,0,0,0,0,OK
08194008_10_47,5,948,948,948,948,948,0,0,0,0,0,OK
08194008_10_47,6,948,948,948,948,948,0,0,0,0,0,OK
08194008_10_47,7,949,949,949,949,949,0,0,0,0,0,OK
08202001_10_47,all,7406,7406,7406,7406,7406,0,0,0,0,0,OK
