station_id,provincia,municipio,estacion,first_timestamp_utc,last_timestamp_utc,expected_hourly_observations,observed_valid_pm10_observations,coverage_fraction,number_of_source_years_present,longest_missing_run_hours,days_with_sufficient_hourly_support_75pct,expected_hours_2020,valid_hours_2020,coverage_2020,source_days_2020,usable_days_75pct_2020,expected_hours_2021,valid_hours_2021,coverage_2021,source_days_2021,usable_days_75pct_2021,expected_hours_2022,valid_hours_2022,coverage_2022,source_days_2022,usable_days_75pct_2022,expected_hours_2023,valid_hours_2023,coverage_2023,source_days_2023,usable_days_75pct_2023
04902001_10_49,4,902,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34600,0.9867670545288615,4,85,1441,8784,8700,0.9904371584699454,366,362,8760,8481,0.9681506849315068,360,350,8760,8711,0.994406392694064,365,365,8760,8708,0.9940639269406393,365,364
05019002_10_49,5,19,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34242,0.9765571526351814,4,150,1432,8784,8448,0.9617486338797814,356,352,8760,8711,0.994406392694064,365,365,8760,8704,0.993607305936073,365,365,8760,8379,0.9565068493150685,355,350
07003001_10_49,7,3,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34342,0.979409080538444,4,132,1433,8784,8664,0.9863387978142076,365,361,8760,8551,0.9761415525114155,364,355,8760,8510,0.9714611872146118,360,356,8760,8617,0.983675799086758,365,361
07003004_10_49,7,3,4,2020-01-01T01:00:00Z,2023-12-29T14:00:00Z,35064,34285,0.9777834816335843,4,58,1428,8784,8647,0.9844034608378871,364,361,8760,8493,0.9695205479452055,362,353,8760,8586,0.9801369863013699,364,356,8760,8559,0.977054794520548,363,358
07010001_10_47,7,10,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,30292,0.8639060004563085,4,1141,1230,8784,8556,0.9740437158469946,362,352,8760,6379,0.7281963470319635,276,257,8760,8135,0.9286529680365296,352,331,8760,7222,0.8244292237442923,320,290
07015001_10_49,7,15,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31661,0.9029488934519735,4,713,1315,8784,6584,0.7495446265938069,283,275,8760,8264,0.94337899543379,351,343,8760,8229,0.9393835616438356,351,340,8760,8584,0.9799086757990868,360,357
07026001_10_49,7,26,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33194,0.9466689482089893,4,185,1370,8784,8588,0.9776867030965392,364,357,8760,8217,0.938013698630137,352,341,8760,7986,0.9116438356164384,353,325,8760,8403,0.9592465753424657,364,347
07032002_10_49,7,32,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34275,0.9774982888432581,4,149,1429,8784,8680,0.98816029143898,365,361,8760,8454,0.9650684931506849,359,354,8760,8591,0.9807077625570776,363,359,8760,8550,0.976027397260274,363,355
07032003_10_49,7,32,3,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34023,0.9703114305270363,4,76,1424,8784,8626,0.9820127504553734,364,358,8760,8424,0.9616438356164384,363,355,8760,8488,0.9689497716894977,362,357,8760,8485,0.968607305936073,363,354
07040002_10_49,7,40,2,2020-01-01T03:00:00Z,2023-12-15T00:00:00Z,35064,25916,0.7391056354095369,4,5136,1075,8784,8563,0.9748406193078324,362,356,8760,8523,0.9729452054794521,359,356,8760,7438,0.8490867579908675,321,306,8760,1392,0.1589041095890411,61,57
