station_id,condition,fold,origin,target_time,horizon,reason
21041008_10_49,lags_only,17,2023-02-07,2023-02-09,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-07,2023-02-10,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-07,2023-02-11,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-07,2023-02-13,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-07,2023-02-14,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-10,2023-02-11,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-10,2023-02-13,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-10,2023-02-14,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-10,2023-02-15,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-10,2023-02-16,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-10,2023-02-17,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-11,2023-02-13,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-11,2023-02-14,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-11,2023-02-15,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-11,2023-02-16,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-11,2023-02-17,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-11,2023-02-18,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-13,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-14,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-15,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-16,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-17,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-18,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-12,2023-02-19,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-16,2023-02-17,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-16,2023-02-18,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-16,2023-02-19,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-16,2023-02-20,4,historical_nan_block_numbering_divergence
