site,horizon,n,mean_loss_diff,dm_stat,dm_hln_stat,q,p_raw,p_bonferroni,bonferroni_reject,p_bh_station,bh_station_reject,dependence_specification,source_loss_ledger_sha256
Edenderry (Co. Offaly),6,211,-21.3952305212,-1.10162969273,-1.09901609547,0,0.273019413515,1,False,0.775205969578,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Edenderry (Co. Offaly),12,211,3.46522616033,0.286619960177,0.285939959313,0,0.775205969578,1,False,0.775205969578,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Edenderry (Co. Offaly),24,210,5.27606283118,0.79957129756,0.797665284604,0,0.425970086924,1,False,0.775205969578,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,1,211,0.800117546761,0.919666893764,0.917485000076,0,0.359941046441,1,False,0.479921395255,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,6,211,-17.3324990527,-1.24473348206,-1.24178037355,0,0.215702715614,1,False,0.456770694829,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,12,210,2.91403504825,0.471620850101,0.470496603328,0,0.638490888815,1,False,0.638490888815,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,24,211,3.91907920329,1.21092642522,1.20805352336,0,0.228385347415,1,False,0.456770694829,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),1,212,3.15271057086,1.2239052336,1.22101525263,0,0.223442872238,1,False,0.363908377209,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),6,212,-1.18375554537,-1.10180662121,-1.09920494905,0,0.272931282907,1,False,0.363908377209,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),12,212,3.97332069414,1.67256102605,1.66861164386,0,0.0966775319893,1,False,0.363908377209,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),24,212,2.64491450596,0.68145603787,0.679846930458,0,0.497346576424,1,False,0.497346576424,False,q_overlap=0,3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
