station,horizon,model,n_cases,threshold,skill,csi,hit_rate,false_alarm_rate,precision,event_bias,exceedance_intensity_error
Valencia-Vivers,1,hgb_direct,1479,27.0,0.07370285621769912,0.3694690265486726,0.5030120481927711,0.1046207497820401,0.5818815331010453,0.8644578313253012,-8.11940571748908
Valencia-Vivers,1,ridge_direct,1479,27.0,0.09546158091873247,0.37844036697247707,0.49698795180722893,0.09067131647776809,0.6133828996282528,0.8102409638554217,-7.947558391445879
Valencia-Vivers,1,sarima,106,27.0,-0.05382488144100295,0.46153846153846156,0.5714285714285714,0.058823529411764705,0.7058823529411765,0.8095238095238095,-7.90569076414129
Valencia-Vivers,1,seasonal_naive,1479,27.0,-0.44386393546085445,0.2036036036036036,0.34036144578313254,0.1944202266782912,0.33630952380952384,1.0120481927710843,-11.55421686746988
Valencia-Vivers,1,stl_ridge_direct,1479,27.0,-1.8736892893431936,0.23457675753228122,0.9849397590361446,0.925893635571055,0.23542116630669546,4.183734939759036,15.076599815036493
Valencia-Vivers,2,hgb_direct,1470,27.0,0.1774493329506257,0.21052631578947367,0.28134556574923547,0.09623797025371829,0.45544554455445546,0.617737003058104,-11.25420285298422
Valencia-Vivers,2,ridge_direct,1470,27.0,0.1751919655401376,0.19953596287703015,0.26299694189602446,0.09098862642169729,0.45263157894736844,0.581039755351682,-11.223685265157123
Valencia-Vivers,2,sarima,105,27.0,0.2905104725161366,0.18518518518518517,0.22727272727272727,0.060240963855421686,0.5,0.45454545454545453,-11.976877387485501
Valencia-Vivers,2,seasonal_naive,1470,27.0,-0.13605304325194179,0.19746376811594202,0.3333333333333333,0.1968503937007874,0.3263473053892216,1.0214067278287462,-11.715596330275229
Valencia-Vivers,2,stl_ridge_direct,1470,27.0,-1.2860808095729626,0.22818311874105865,0.9755351681957186,0.937007874015748,0.22949640287769785,4.250764525993884,13.106179058686255
Valencia-Vivers,3,hgb_direct,1461,27.0,0.19363653105650436,0.15458937198067632,0.19875776397515527,0.08077260755048288,0.41025641025641024,0.484472049689441,-12.530704699570126
Valencia-Vivers,3,ridge_direct,1461,27.0,0.20362719280391617,0.14039408866995073,0.17701863354037267,0.07374890254609306,0.40425531914893614,0.43788819875776397,-12.302192808533986
Valencia-Vivers,3,sarima,104,27.0,0.1280677873041134,0.08695652173913043,0.09090909090909091,0.012195121951219513,0.6666666666666666,0.13636363636363635,-16.49506577388315
Valencia-Vivers,3,seasonal_naive,1461,27.0,-0.06743729246651986,0.18613138686131386,0.3167701863354037,0.1984196663740123,0.31097560975609756,1.0186335403726707,-12.024844720496894
Valencia-Vivers,3,stl_ridge_direct,1461,27.0,-1.1474680904284966,0.22730521801286632,0.9875776397515528,0.9455662862159789,0.22795698924731184,4.332298136645963,12.158987472375248
Valencia-Vivers,4,hgb_direct,1454,27.0,0.2098397119173544,0.1568627450980392,0.20125786163522014,0.07922535211267606,0.4155844155844156,0.48427672955974843,-12.744207610711266
Valencia-Vivers,4,ridge_direct,1454,27.0,0.22428104670026705,0.11904761904761904,0.14150943396226415,0.0528169014084507,0.42857142857142855,0.330188679245283,-12.661104729452418
Valencia-Vivers,4,sarima,102,27.0,0.29389704680382855,0.037037037037037035,0.04,0.025974025974025976,0.3333333333333333,0.12,-12.84748964432061
Valencia-Vivers,4,seasonal_naive,1454,27.0,-0.027430603502407225,0.18484288354898337,0.31446540880503143,0.19630281690140844,0.30959752321981426,1.0157232704402517,-12.09748427672956
Valencia-Vivers,4,stl_ridge_direct,1454,27.0,-1.0642590297717889,0.22557471264367815,0.9874213836477987,0.9454225352112676,0.22622478386167147,4.364779874213837,11.9255301184783
Valencia-Vivers,5,hgb_direct,1446,27.0,0.22727145880004085,0.1267605633802817,0.16927899686520376,0.09494232475598935,0.33540372670807456,0.5047021943573667,-13.134999213360809
Valencia-Vivers,5,ridge_direct,1446,27.0,0.2415127594814469,0.0938337801608579,0.109717868338558,0.04791481810115351,0.39325842696629215,0.27899686520376177,-13.093568768177237
Valencia-Vivers,5,sarima,101,27.0,0.12023386227807464,0.08,0.08333333333333333,0.012987012987012988,0.6666666666666666,0.125,-16.49708441217297
Valencia-Vivers,5,seasonal_naive,1446,27.0,0.006713595380263948,0.1814814814814815,0.3072100313479624,0.1960958296362023,0.3072100313479624,1.0,-12.329153605015675
Valencia-Vivers,5,stl_ridge_direct,1446,27.0,-0.9795753624667698,0.22710886806056235,0.987460815047022,0.9476486246672582,0.227765726681128,4.335423197492163,11.287917701739977
Valencia-Vivers,6,hgb_direct,1442,27.0,0.22711962890109816,0.11083743842364532,0.14331210191082802,0.08156028368794327,0.3284671532846715,0.43630573248407645,-13.429805786634889
Valencia-Vivers,6,ridge_direct,1442,27.0,0.24380820046832907,0.09340659340659341,0.10828025477707007,0.044326241134751775,0.40476190476190477,0.267515923566879,-13.248335432558767
Valencia-Vivers,6,sarima,103,27.0,0.2249307027823202,0.0,0.0,0.0,0.0,0.0,-17.714955790673553
Valencia-Vivers,6,seasonal_naive,1442,27.0,0.003607115501544911,0.17996289424860853,0.3089171974522293,0.19946808510638298,0.30124223602484473,1.0254777070063694,-12.363057324840764
Valencia-Vivers,6,stl_ridge_direct,1442,27.0,-0.9851565128204169,0.22382671480144403,0.9872611464968153,0.949468085106383,0.22447501810282405,4.398089171974522,11.14695089858028
Valencia-Vivers,7,hgb_direct,1434,27.0,0.2324995866841183,0.09848484848484848,0.12540192926045016,0.07569011576135352,0.31451612903225806,0.3987138263665595,-13.519713146573242
Valencia-Vivers,7,ridge_direct,1434,27.0,0.2528761794349226,0.07954545454545454,0.09003215434083602,0.0365093499554764,0.4057971014492754,0.22186495176848875,-13.36440788812855
Valencia-Vivers,7,sarima,98,27.0,0.324176570506167,0.1,0.10526315789473684,0.012658227848101266,0.6666666666666666,0.15789473684210525,-13.16424277617573
Valencia-Vivers,7,seasonal_naive,1434,27.0,0.0,0.18504672897196262,0.3183279742765273,0.19946571682991987,0.3065015479876161,1.0385852090032155,-12.260450160771704
Valencia-Vivers,7,stl_ridge_direct,1434,27.0,-0.9766908202120923,0.22270426608821403,0.9903536977491961,0.9545859305431879,0.22318840579710145,4.437299035369775,11.136447260767397
