station_id,station_name,station_type,model,horizon,skill,alpha,recall_p75,dm_significant,n_pairs,rule_a_rc,decision_change_rc,reason_rc
43004006_10_M,Alcanar Montecarlo,Rural Remote/Industrial,hgb_direct,1,0.103728580496874,0.376074242659997,0.4054054054054054,True,1591,True,True,collapse_only
43004006_10_M,Alcanar Montecarlo,Rural Remote/Industrial,hgb_direct,2,0.18795894002857,0.1861569334216844,0.2297297297297297,True,1576,True,True,collapse_only
43004006_10_M,Alcanar Montecarlo,Rural Remote/Industrial,ridge_direct,1,0.128625916508676,0.3451439989374161,0.4567567567567567,True,1591,True,True,collapse_only
43004006_10_M,Alcanar Montecarlo,Rural Remote/Industrial,ridge_direct,2,0.204680525336187,0.1267397598758236,0.2432432432432432,True,1576,True,True,collapse_only
43004006_10_M,Alcanar Montecarlo,Rural Remote/Industrial,sarima,1,0.1732234237266809,0.400901661898133,0.4137931034482758,True,111,True,True,collapse_only
08019043_10_M,Barcelona L'Eixample,Urban/Traffic,hgb_direct,1,0.1021735567303114,0.427546585153835,0.4019138755980861,True,1155,True,True,collapse_only
08019043_10_M,Barcelona L'Eixample,Urban/Traffic,hgb_direct,2,0.163238871893256,0.187087164323822,0.2403846153846154,True,1148,True,True,collapse_only
08019043_10_M,Barcelona L'Eixample,Urban/Traffic,ridge_direct,1,0.1010158366992278,0.452494510795521,0.430622009569378,True,1155,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,hgb_direct,2,0.2092429186473708,0.1959595717602163,0.6645299145299145,True,1546,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,hgb_direct,3,0.242048725240239,0.1440520786916048,0.572961373390558,True,1539,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,hgb_direct,4,0.2573729018469566,0.1170497934823449,0.5481798715203426,True,1536,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,hgb_direct,5,0.2624578096915761,0.1003603894924744,0.4871244635193133,True,1533,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,hgb_direct,6,0.2654950040980207,0.0859820925754303,0.421505376344086,True,1529,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,hgb_direct,7,0.2660563699960706,0.0770980570668335,0.3935483870967742,True,1526,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,ridge_direct,2,0.1863445512844097,0.1596756955081631,0.4914529914529914,True,1546,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,ridge_direct,3,0.228613020293565,0.0954284219450966,0.3626609442060086,True,1539,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,ridge_direct,4,0.2459764884341624,0.0666727310557073,0.2655246252676659,True,1536,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,ridge_direct,5,0.2550826002632598,0.0517127844284953,0.2167381974248927,True,1533,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,ridge_direct,6,0.2690557962497393,0.037428969426976,0.2086021505376344,True,1529,True,True,collapse_only
45153999_10_M,San Pablo de los Montes,Rural Remote/Background,ridge_direct,7,0.2750357126630899,0.0311837895233881,0.2279569892473118,True,1526,True,True,collapse_only
08019028_10_M,Barcelona Pl. Universitat,Urban/Traffic,hgb_direct,2,0.1493379889837482,0.2714382781701528,0.2846975088967972,True,1426,True,True,collapse_only
08019028_10_M,Barcelona Pl. Universitat,Urban/Traffic,hgb_direct,3,0.1872927696137173,0.2109236472030908,0.2258064516129032,True,1418,True,True,collapse_only
08019028_10_M,Barcelona Pl. Universitat,Urban/Traffic,ridge_direct,1,0.0957226917093506,0.4782794231677706,0.5070921985815603,True,1437,True,True,collapse_only
