station_type,n_stations,rule_a_n,rule_b_n,decision_change_n,pct_change
Rural Near-city/Industrial,1,16,0,16,100.0
Rural Remote EMEP,1,13,0,13,100.0
Rural Remote/Background,1,12,0,12,100.0
Rural Remote/Industrial,1,19,0,19,100.0
Suburban/Industrial,3,55,0,55,100.0
Suburban/Traffic,1,20,0,20,100.0
Urban/Background,4,58,2,56,96.6
Urban/Industrial,1,18,4,14,77.8
Urban/Residential,1,15,0,15,100.0
Urban/Traffic,3,51,2,49,96.1
