horizon,n_total,n_rule_a,n_discordant,pct_of_ruleA
1,85,26,23,88.5
2,85,37,32,86.5
3,85,41,18,43.9
4,85,43,9,20.9
5,85,43,9,20.9
6,85,44,5,11.4
7,85,43,5,11.6
