station_id,model,horizon,skill,alpha,recall_p75,dm_significant,station_type,rule_a_rc,rule_b_rc,decision_change_rc,reason_rc
08019043_10_M,ridge_direct,6,0.2355384411314679,0.0516576460973275,0.062200956937799,True,Urban/Traffic,True,False,True,both
08019043_10_M,ridge_direct,7,0.2144950641625439,0.0521697521493046,0.0536585365853658,True,Urban/Traffic,True,False,True,both
08019043_10_M,sarima,1,0.0884018398166911,0.5003396450888176,0.5882352941176471,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,sarima,2,0.277205994207367,0.3009172521351125,0.32,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,sarima,3,0.3511822451715841,0.1469481211691042,0.0476190476190476,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,sarima,4,0.3475563250897877,0.0730700051912946,0.0,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,sarima,5,0.3500120881633911,0.076352772161282,0.0384615384615384,True,Urban/Traffic,True,False,True,both
08019043_10_M,sarima,6,0.2736650568810841,0.0733142187388907,0.0294117647058823,True,Urban/Traffic,True,False,True,both
08019043_10_M,sarima,7,0.301993472892385,0.1657410463117063,0.0277777777777777,True,Urban/Traffic,True,False,True,both
08019043_10_M,seasonal_naive,1,-0.3666812426404486,0.8389731502564657,0.2248803827751196,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,seasonal_naive,2,-0.1169428731225386,0.8444726540735621,0.2403846153846154,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,seasonal_naive,3,-0.0578820795071113,0.8484427934472593,0.2428571428571428,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,seasonal_naive,4,0.0242710819101389,0.8223697389430261,0.2488038277511961,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,seasonal_naive,5,0.0488689806912669,0.8320481286869505,0.2619047619047619,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,seasonal_naive,6,0.031190865681792,0.8632973445864804,0.2679425837320574,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,seasonal_naive,7,0.0,0.8888571097663708,0.2731707317073171,False,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,1,-2.171519499093407,1.4619840340426025,0.9952153110047848,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,2,-1.6578988183861658,1.268620879947843,0.9951923076923076,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,3,-1.5356848875275615,1.2381031197853476,1.0,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,4,-1.3629155131951038,1.1598241645699974,1.0,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,5,-1.3077555514784214,1.123708096534114,1.0,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,6,-1.3601694716656518,1.0933431447620363,1.0,True,Urban/Traffic,False,False,False,n/a
08019043_10_M,stl_ridge_direct,7,-1.4519747750391638,1.104502413785505,1.0,True,Urban/Traffic,False,False,False,n/a
45153999_10_M,hgb_direct,1,0.1150643208678378,0.370345752367743,0.7484008528784648,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,hgb_direct,2,0.2092429186473708,0.1959595717602163,0.6645299145299145,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,hgb_direct,3,0.242048725240239,0.1440520786916048,0.572961373390558,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,hgb_direct,4,0.2573729018469566,0.1170497934823449,0.5481798715203426,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,hgb_direct,5,0.2624578096915761,0.1003603894924744,0.4871244635193133,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,hgb_direct,6,0.2654950040980207,0.0859820925754303,0.421505376344086,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,hgb_direct,7,0.2660563699960706,0.0770980570668335,0.3935483870967742,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,ridge_direct,1,0.0990226175122347,0.3867358522080297,0.6950959488272921,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,ridge_direct,2,0.1863445512844097,0.1596756955081631,0.4914529914529914,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,ridge_direct,3,0.228613020293565,0.0954284219450966,0.3626609442060086,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,ridge_direct,4,0.2459764884341624,0.0666727310557073,0.2655246252676659,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,ridge_direct,5,0.2550826002632598,0.0517127844284953,0.2167381974248927,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,ridge_direct,6,0.2690557962497393,0.037428969426976,0.2086021505376344,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,ridge_direct,7,0.2750357126630899,0.0311837895233881,0.2279569892473118,True,Rural Remote/Background,True,False,True,collapse_only
45153999_10_M,sarima,1,0.2396727309555365,0.6381633285041324,0.75,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,sarima,2,0.1774258367720855,0.2202700441905004,0.5208333333333334,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,sarima,3,0.2318158404109052,0.1821744811097952,0.3148148148148148,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,sarima,4,0.3251345432077729,0.2686605297420877,0.2448979591836734,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,sarima,5,0.1374056385704037,0.0809976612314301,0.2549019607843137,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,sarima,6,0.2806629406708948,0.177110849378435,0.14,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,sarima,7,0.2456842246219249,0.1213166146310791,0.12,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,seasonal_naive,1,-0.4159662044150629,1.01192033985413,0.3816631130063966,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,seasonal_naive,2,-0.1331498688846224,1.0068733262496827,0.3846153846153846,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,seasonal_naive,3,-0.0516130270429018,1.0095068819897202,0.3905579399141631,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,seasonal_naive,4,-0.0261561623455426,1.0128685990277055,0.3940042826552462,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,seasonal_naive,5,-0.0162438485117353,1.01792738975774,0.3948497854077253,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,seasonal_naive,6,-0.0024146556211568,1.0271759122099229,0.3935483870967742,False,Rural Remote/Background,False,False,False,n/a
