model,h,rmse,skill,var_pct,skill_vp
lgbm,1,0.335,0.963,78.2,0.753
lgbm,6,0.726,0.919,80.9,0.743
lgbm,24,0.375,0.958,97.6,0.935
lgbm,48,0.381,0.957,98.7,0.945
sarima,1,0.984,0.890,1.8,0.016
sarima,6,0.985,0.890,1.2,0.011
sarima,24,0.989,0.889,0.3,0.003
sarima,48,0.991,0.889,0.1,0.001
