dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag
e1_rr_22125001_10_M,hgb_direct,1,1499,0.0658780575519581,0.0191356359366173,0.544090062862485,0.4806592951087229,0.6220486011363242,0.03584359647470328,False,False,False,False
e1_rr_22125001_10_M,hgb_direct,2,1488,0.1466647056443955,0.0982795467345989,0.26681723102728505,0.22885026158860983,0.31013022165867227,0.03913267064946943,True,False,False,False
e1_rr_22125001_10_M,hgb_direct,3,1480,0.1852059195971299,0.1537643558467374,0.1620643707804204,0.14065088794238423,0.18700637970185965,0.03001528082431799,True,False,False,False
e1_rr_22125001_10_M,hgb_direct,4,1475,0.2134784483810844,0.187372239868792,0.11226617011846324,0.09783793694354177,0.1302525719813654,0.023966407802576393,True,False,False,False
e1_rr_22125001_10_M,hgb_direct,5,1476,0.2226269730998128,0.2085218530404644,0.08275525741568672,0.0723147121105513,0.09679122507385128,0.018423552466550173,True,False,False,False
e1_rr_22125001_10_M,hgb_direct,6,1474,0.2249282147411214,0.2124190069692189,0.07859278075720902,0.06866670887911906,0.09036186760446338,0.017677733867259383,True,False,False,False
e1_rr_22125001_10_M,hgb_direct,7,1473,0.2269217096230159,0.2061809678352703,0.08369112357553526,0.07249914690411964,0.09690316361945997,0.018991332842031552,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,1,1499,0.0899913882371304,0.0476293933395582,0.49470900845356724,0.43417289380905594,0.5683406696173714,0.0445195504441508,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,2,1488,0.1625051073504467,0.1206664758349457,0.19263198583216043,0.16800375195150127,0.22351548799685286,0.031303681536784964,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,3,1480,0.1982633813027889,0.1690051741051541,0.10535654206501678,0.09015177867724025,0.12306981937359834,0.02088834427217974,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,4,1475,0.2253165049660748,0.2005488493619627,0.06329211315516459,0.054395884682736886,0.07413959371980726,0.01426075772803901,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,5,1476,0.2363710388763534,0.2193249803897897,0.03912943591203884,0.033993756710722,0.046233523477362454,0.009249065417174311,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,6,1474,0.2426977596252166,0.2288779912030405,0.027520154283673423,0.023801377481713862,0.03218311381263998,0.006679079789187848,True,False,False,False
e1_rr_22125001_10_M,ridge_direct,7,1473,0.2484886052354199,0.2295827406655053,0.02409646535841728,0.02065641335033712,0.028309472005192345,0.005987697068016723,True,False,False,False
e1_rr_22125001_10_M,sarima,1,168,0.0811923919386752,0.0557265052232188,0.574150209152127,0.45108373292205545,0.7306663695535043,0.04661662881315183,False,False,False,False
e1_rr_22125001_10_M,sarima,2,167,0.1587614133554286,0.1205652208944084,0.2660492234066146,0.17059395550728787,0.4354586359546724,0.042238350730148304,True,False,False,False
e1_rr_22125001_10_M,sarima,3,165,0.1794296071239648,0.1309784398160371,0.1449874713767845,0.09892355261352988,0.22043682138864015,0.026015045027033536,True,False,False,False
e1_rr_22125001_10_M,sarima,4,164,0.2298152657230086,0.2121345962449244,0.05592950317907359,0.03342167762528625,0.09894106876952953,0.01285345363485465,True,False,False,False
e1_rr_22125001_10_M,sarima,5,163,0.3339968187699137,0.3374449601162449,0.04901971383621099,0.030723160671800226,0.07679898653239133,0.016372428478305993,True,False,False,False
e1_rr_22125001_10_M,sarima,6,169,0.3371266868999995,0.3227768196584178,0.03059632771565967,0.02087134420297225,0.04441376944018957,0.010314838594086974,True,False,False,False
e1_rr_22125001_10_M,sarima,7,163,0.2416453535293454,0.2742969617949035,0.031163581610148865,0.017144708773797097,0.061689984684544945,0.007530534695425029,True,False,False,False
e1_rr_22125001_10_M,seasonal_naive,1,1499,-0.6219167266933707,-0.7819985825655562,1.0089158549297432,0.8565266469056557,1.2006215028251324,-0.6274616460069495,False,False,False,False
e1_rr_22125001_10_M,seasonal_naive,2,1488,-0.2185080380855206,-0.2843592122899265,1.0031998683691996,0.8600604078622179,1.179455820527101,-0.21920723504500633,False,False,False,False
e1_rr_22125001_10_M,seasonal_naive,3,1480,-0.1100061131073608,-0.1327352618088613,1.0217641125071335,0.8781875220764415,1.2037032591147738,-0.11240029852950185,False,False,False,False
e1_rr_22125001_10_M,seasonal_naive,4,1475,-0.042653666784745,-0.0552410361983186,1.0096249978419383,0.861663051988379,1.203301215765735,-0.043064208235498926,False,False,False,False
e1_rr_22125001_10_M,seasonal_naive,5,1476,-0.0167514406296003,-0.0122694334650856,1.0082847449434178,0.8531011861432009,1.206232638088044,-0.016890222042651344,False,False,False,False
e1_rr_22125001_10_M,seasonal_naive,6,1474,-0.0063009753792186,-0.0031907060459788,1.01311059664435,0.8528643696575948,1.1900231158966172,-0.006383584925881517,False,False,False,False
e1_rr_22125001_10_M,seasonal_naive,7,1473,0.0,0.0,1.0142524541961861,0.864587419949361,1.1866606697397124,0.0,False,False,False,False
