station_id,model,horizon,condition,n,mae,rmse,bias,mae_persistence,rmse_persistence,skill_mae,skill_rmse,n_fidelity,observed_variance,predicted_variance,variance_retention,observed_sd,predicted_sd,std_ratio,correlation,observed_amplitude_q95_q05,predicted_amplitude_q95_q05,amplitude_ratio,variance_fidelity_directional_degradation,alpha_kge,temporal_variability,alpha_kge_status,temporal_variability_status,threshold_type,threshold_operator,threshold_min,threshold_max,threshold_unique_count,n_event,event_count,predicted_event_count,true_positive,false_positive,false_negative,precision,recall_pod,far,csi,event_bias,exceedance_intensity_error,candidate_generation_status,criterion_A,criterion_B,criterion_C,criterion_B_status,criterion_C_status,GHOST_SKILL,GHOST_SKILL_STATUS,adjudication_rationale
01022001_10_47,xgboost_direct,5,lags_only,993,5.974741778708046,9.448684235455147,-0.12128709869278889,7.134408031071633,11.630387673399797,0.1625455464998681,0.18758647598088998,993,77.6839120305159,21.294031950694,0.2741112206389561,8.813847742644294,4.61454569277345,0.5235563204078011,0.119431597868899,24.20833333333333,14.15657396316528,0.5847810242959842,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,12.791666666666666,14.291666666666666,27,993.0,252.0,253.0,80.0,173.0,172.0,0.31620553359683795,0.31746031746031744,0.6837944664031621,0.18823529411764706,1.003968253968254,-10.010666115302365,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,6,lags_only,991,5.839906868490676,9.201925027436387,-0.21914598933399063,7.2832706811899985,11.680692543670437,0.198175225922469,0.21221066362004806,991,76.1965431080296,18.727973352227142,0.24578507880173878,8.729063128883283,4.3275828533058895,0.4957671618832159,0.13629271253538902,24.07608695652174,13.390477895736694,0.5561733482653616,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,12.791666666666666,14.291666666666666,27,991.0,255.0,248.0,82.0,166.0,173.0,0.33064516129032256,0.3215686274509804,0.6693548387096774,0.19477434679334918,0.9725490196078431,-9.865352832761962,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,7,lags_only,990,5.908660105908615,9.295433603951649,-0.16751916011348117,7.5135249968155104,11.986838484860954,0.2135967993168443,0.22453000299524142,990,79.77995305540051,20.695128378205403,0.2594026141358389,8.931962441445917,4.549189859547017,0.5093158294573604,0.17347957653071103,24.164311594202896,14.074901342391962,0.5824664728197174,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,12.791666666666666,14.291666666666666,27,990.0,258.0,258.0,89.0,169.0,169.0,0.3449612403100775,0.3449612403100775,0.6550387596899225,0.20843091334894615,1.0,-9.748079488633707,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,1,lags_only,912,5.270310215971174,9.688168184639405,-1.6048862206067191,5.117042085409506,9.910592700703805,-0.029952485831353518,0.02244310938624334,912,126.88264114955841,81.95740990374689,0.6459308315244046,11.264219509116396,9.053033188039624,0.8036982216755268,0.5763898066574368,25.874999999999996,22.332675377979413,0.8630985653325378,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,912.0,251.0,187.0,133.0,54.0,118.0,0.7112299465240641,0.5298804780876494,0.2887700534759358,0.4360655737704918,0.7450199203187251,-6.649674730674024,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,2,lags_only,909,7.0150146205739325,12.207243312121934,-2.608111910509006,7.285010338507971,13.229813928431875,0.037061816715188836,0.07729289480877427,909,126.7904375727658,72.01818270263202,0.5680095761267513,11.260126001638072,8.486352732630904,0.7536641003303468,0.29612608809873026,25.591666666666622,21.338327539736795,0.8337998387393096,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,909.0,252.0,150.0,81.0,69.0,171.0,0.54,0.32142857142857145,0.46,0.2523364485981308,0.5952380952380952,-10.590383468915345,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,3,lags_only,907,7.781505704401276,12.885307135282408,-3.5741848690634117,8.198014211426608,14.039080463336115,0.05080602403015986,0.08218296996493846,907,126.55065770920739,63.306703373237696,0.5002479206287975,11.24947366365233,7.956550972201315,0.707282065818721,0.20445894873779,25.629166666666634,20.086597710523286,0.7837397903634522,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,907.0,252.0,123.0,58.0,65.0,194.0,0.4715447154471545,0.23015873015873015,0.5284552845528455,0.1829652996845426,0.4880952380952381,-12.737564083063207,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,4,lags_only,907,8.191065398318777,13.251634839300554,-4.360080544434693,8.55734538326677,14.577560745276994,0.04280299187926018,0.09095663733769925,907,121.99924426575616,55.85227113324928,0.45780833700562845,11.045326806652493,7.473437705182889,0.6766153538057117,0.12875152743733828,25.641666666666634,18.700181949678168,0.7292888638158541,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,907.0,248.0,96.0,41.0,55.0,207.0,0.4270833333333333,0.16532258064516128,0.5729166666666666,0.1353135313531353,0.3870967741935484,-14.25096340115764,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,5,lags_only,908,8.492692973950449,13.4196359981961,-5.058066298924585,8.820163253875664,14.872990010723806,0.03712746244025832,0.09771767556354174,908,116.42307690355774,49.43417548103489,0.4246080484712241,10.789952590422153,7.03094413866551,0.6516195580791172,0.07483604549087569,24.74791666666666,17.488672202494826,0.7066725025000015,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,908.0,243.0,79.0,30.0,49.0,213.0,0.379746835443038,0.12345679012345678,0.620253164556962,0.10273972602739725,0.32510288065843623,-15.55554811545572,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,6,lags_only,907,8.720927486076889,13.849052284548257,-5.824072515418457,8.88930163627187,15.219417993345605,0.018941212379153454,0.09004061189439132,907,118.93210053590981,44.939118205556916,0.3778552468430355,10.90559950373705,6.703664535577308,0.6146993141716001,0.0409998414273788,24.658333333333324,16.557481238848666,0.6714760894430012,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,907.0,241.0,62.0,20.0,42.0,221.0,0.3225806451612903,0.08298755186721991,0.6774193548387096,0.0706713780918728,0.2572614107883817,-16.883785700858176,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01036004_10_47,sarima,7,lags_only,906,9.036736076666907,14.236038999289471,-6.611268030683478,9.061202540528393,15.515676771650886,0.0027001343091112165,0.08247386119176418,906,121.29663116056052,40.81967695698283,0.33652770539809773,11.013474981156516,6.389027856957804,0.580110080414138,0.02245682374514625,24.697916666666664,15.511591425843228,0.6280526262677985,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,training-only fold-specific p75,>,18.75,20.0,26,906.0,243.0,52.0,18.0,34.0,225.0,0.34615384615384615,0.07407407407407407,0.6538461538461539,0.06498194945848375,0.2139917695473251,-18.01655757813268,POSITIVE_SKILL_SCREEN_REQUIRES_JOINT_ADJUDICATION,PASS,FAIL,FAIL,NOT_ADJUDICABLE_NO_PREDECLARED_MATERIALITY_CUTOFF,NOT_ADJUDICABLE_NO_PREDEFINED_DECISION_CONSEQUENCE_RULE,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
