station_id,horizon,condition,accuracy_metric,accuracy_xgboost,accuracy_sarima,accuracy_winner,diagnostic_metric,diagnostic_direction,diagnostic_xgboost,diagnostic_sarima,diagnostic_winner,diagnostic_margin,pairwise_reversal_candidate,scientific_preference_adjudication
07044001_10_49,3,lags_only,error_skill_rmse,0.1585617733240438,0.08861062882929362,xgboost_direct,event_csi,higher,0.15384615384615385,0.20652173913043478,sarima,0.05267558528428093,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,3,lags_only,error_skill_rmse,0.1585617733240438,0.08861062882929362,xgboost_direct,event_recall_pod,higher,0.2682926829268293,0.23170731707317074,xgboost_direct,0.03658536585365854,False,NO_REVERSAL
07044001_10_49,3,lags_only,error_skill_rmse,0.1585617733240438,0.08861062882929362,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.4373839943914268,0.672058237043625,sarima,0.23467424265219816,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,3,lags_only,error_skill_rmse,0.1585617733240438,0.08861062882929362,xgboost_direct,fidelity_correlation,higher,0.03701875847210767,0.19919450856719179,sarima,0.16217575009508411,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,3,lags_only,error_skill_rmse,0.1585617733240438,0.08861062882929362,xgboost_direct,fidelity_std_ratio,closer_to_one,0.3917964145136999,0.6854388696275266,sarima,0.2936424551138268,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,3,lags_only,error_skill_rmse,0.1585617733240438,0.08861062882929362,xgboost_direct,fidelity_variance_retention,closer_to_one,0.15350443042579096,0.46982644399626144,sarima,0.3163220135704704,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,4,lags_only,error_skill_rmse,0.21607841662864735,0.0975619473334069,xgboost_direct,event_csi,higher,0.17482517482517482,0.17708333333333334,sarima,0.0022581585081585254,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,4,lags_only,error_skill_rmse,0.21607841662864735,0.0975619473334069,xgboost_direct,event_recall_pod,higher,0.30120481927710846,0.20481927710843373,xgboost_direct,0.09638554216867473,False,NO_REVERSAL
07044001_10_49,4,lags_only,error_skill_rmse,0.21607841662864735,0.0975619473334069,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.445255695854359,0.5965615942982615,sarima,0.15130589844390252,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,4,lags_only,error_skill_rmse,0.21607841662864735,0.0975619473334069,xgboost_direct,fidelity_correlation,higher,0.07622731662456117,0.12320843702393089,sarima,0.04698112039936972,True,REQUIRES_QUALITATIVE_REVIEW
