station_id,model,horizon,condition,n,observed_variance,predicted_variance,variance_retention,observed_sd,predicted_sd,std_ratio,correlation,observed_amplitude_q95_q05,predicted_amplitude_q95_q05,amplitude_ratio,variance_fidelity_directional_degradation,alpha_kge,temporal_variability,alpha_kge_status,temporal_variability_status
01022001_10_47,sarima,1,lags_only,996,78.77726928000489,60.098271434245554,0.7628884827250492,8.875655991531268,7.7523074909503915,0.8734348760640653,0.6809900852411934,24.177083333333332,20.74686425218289,0.8581210548080815,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,sarima,2,lags_only,994,80.11377633647623,43.321478826027594,0.5407494292127519,8.950629940762619,6.58190540998787,0.7353566680276665,0.42244697580672924,24.197916666666647,18.33255475692691,0.7576088061407598,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,sarima,3,lags_only,992,77.76456335315312,31.95145663665596,0.4108742499016478,8.818421817601669,5.652561953367337,0.6409947346910486,0.2624558022597264,24.014583333333324,16.388485981729563,0.6824389061533958,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,sarima,4,lags_only,992,77.07225966594389,24.3708413078789,0.3162076915028833,8.779080798463122,4.936683229444533,0.5623234758596545,0.16802227323552,24.10208333333333,14.335752657874421,0.5947930915186899,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,sarima,5,lags_only,993,77.6839120305159,19.2806427776572,0.24819350974605078,8.813847742644294,4.390972873710016,0.49819023449486716,0.10433897781067678,24.20833333333333,12.641853629299737,0.5222108211758929,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,sarima,6,lags_only,991,76.1965431080296,15.987558322357245,0.20981999537289342,8.729063128883283,3.9984444878423964,0.4580611262406944,0.07484834600973356,24.07608695652174,11.321598840174952,0.47024248004338404,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,sarima,7,lags_only,990,79.77995305540051,14.295738251494374,0.17918960470642517,8.931962441445917,3.780970543589883,0.4233079313058346,0.05990940527610338,24.164311594202896,10.323584073689204,0.42722442282054784,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,1,lags_only,996,78.77726928000489,21.69918444166689,0.27544981744086094,8.875655991531268,4.658238341011212,0.5248331329488077,0.28170054557011687,24.177083333333332,13.456437706947327,0.5565782076117809,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,2,lags_only,994,80.11377633647623,23.90059020142238,0.29833308694674915,8.950629940762619,4.888822987327561,0.5461987613925439,0.1986180192808059,24.197916666666647,15.075990462303153,0.6230284478610004,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,3,lags_only,992,77.76456335315312,18.312072422219245,0.23548093929439834,8.818421817601669,4.279260733142962,0.4852637832090896,0.1790983737080247,24.014583333333324,13.367222332954407,0.5566293675560092,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,4,lags_only,992,77.07225966594389,19.034571960754803,0.24697046697809039,8.779080798463122,4.362862817090953,0.4969612328724349,0.14129468207723767,24.10208333333333,13.488664603233337,0.5596472477787192,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,5,lags_only,993,77.6839120305159,21.294031950694,0.2741112206389561,8.813847742644294,4.61454569277345,0.5235563204078011,0.119431597868899,24.20833333333333,14.15657396316528,0.5847810242959842,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,6,lags_only,991,76.1965431080296,18.727973352227142,0.24578507880173878,8.729063128883283,4.3275828533058895,0.4957671618832159,0.13629271253538902,24.07608695652174,13.390477895736694,0.5561733482653616,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
01022001_10_47,xgboost_direct,7,lags_only,990,79.77995305540051,20.695128378205403,0.2594026141358389,8.931962441445917,4.549189859547017,0.5093158294573604,0.17347957653071103,24.164311594202896,14.074901342391962,0.5824664728197174,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
