station_id,horizon,condition,error_mae_sarima,error_mae_xgboost_direct,error_rmse_sarima,error_rmse_xgboost_direct,error_bias_sarima,error_bias_xgboost_direct,error_skill_mae_sarima,error_skill_mae_xgboost_direct,error_skill_rmse_sarima,error_skill_rmse_xgboost_direct,fidelity_variance_retention_sarima,fidelity_variance_retention_xgboost_direct,fidelity_std_ratio_sarima,fidelity_std_ratio_xgboost_direct,fidelity_correlation_sarima,fidelity_correlation_xgboost_direct,fidelity_amplitude_ratio_sarima,fidelity_amplitude_ratio_xgboost_direct,event_precision_persistence,event_precision_sarima,event_precision_xgboost_direct,event_recall_pod_persistence,event_recall_pod_sarima,event_recall_pod_xgboost_direct,event_far_persistence,event_far_sarima,event_far_xgboost_direct,event_csi_persistence,event_csi_sarima,event_csi_xgboost_direct,event_event_bias_persistence,event_event_bias_sarima,event_event_bias_xgboost_direct,event_exceedance_intensity_error_persistence,event_exceedance_intensity_error_sarima,event_exceedance_intensity_error_xgboost_direct,persistence_mae,persistence_rmse
01022001_10_47,1,lags_only,4.134675754025891,5.3801502981413005,6.896445449062004,8.788889021105627,-1.5488498848160686,-0.24877727279188297,-0.03273890961128668,-0.34382739614761393,0.022715882816828917,-0.24545923134653555,0.7628884827250492,0.27544981744086094,0.8734348760640653,0.5248331329488077,0.6809900852411934,0.28170054557011687,0.8581210548080815,0.5565782076117809,0.6486486486486487,0.6829268292682927,0.47717842323651455,0.6363636363636364,0.5303030303030303,0.4356060606060606,0.35135135135135137,0.3170731707317073,0.5228215767634855,0.4732394366197183,0.425531914893617,0.2948717948717949,0.9810606060606061,0.7765151515151515,0.9128787878787878,-3.019447278402318,-5.626344567965563,-8.653991187092844,4.003602184004227,7.05674565646237
01022001_10_47,2,lags_only,5.607146026930343,5.709506500379417,9.070455768364038,9.308694072239916,-2.9347016589247885,-0.14032606572214523,0.01620470008534515,-0.0017548380098965147,0.05290215539072978,0.028026339900709654,0.5407494292127519,0.29833308694674915,0.7353566680276665,0.5461987613925439,0.42244697580672924,0.1986180192808059,0.7576088061407598,0.6230284478610004,0.5232558139534884,0.589041095890411,0.43359375,0.5172413793103449,0.32950191570881227,0.42528735632183906,0.47674418604651164,0.410958904109589,0.56640625,0.3515625,0.26791277258566976,0.2733990147783251,0.9885057471264368,0.5593869731800766,0.9808429118773946,-5.19264087292573,-9.594724527503068,-9.107125492015166,5.6995047927315445,9.577105280084444
01022001_10_47,3,lags_only,6.4001607774132,5.747380529612054,9.981978504897722,9.090114541911824,-4.011106253942381,-0.26566128509944,-0.004893967849330523,0.09759954069838642,0.06944662898773636,0.15258916599417002,0.4108742499016478,0.23548093929439834,0.6409947346910486,0.4852637832090896,0.2624558022597264,0.1790983737080247,0.6824389061533958,0.5566293675560092,0.444015444015444,0.5092592592592593,0.3441295546558704,0.444015444015444,0.21235521235521235,0.3281853281853282,0.555984555984556,0.49074074074074076,0.6558704453441295,0.2853598014888337,0.1762820512820513,0.20190023752969122,1.0,0.416988416988417,0.9536679536679536,-6.728157586076841,-12.23999506356058,-9.525634639442567,6.368991139543603,10.726927456121343
01022001_10_47,4,lags_only,6.856360191006171,5.785332199182906,10.532896926586291,9.23776736593761,-4.90538816754647,-0.23071836528590103,-0.0004001197309492125,0.15587179443433566,0.06940579965112484,0.18383206492652868,0.3162076915028833,0.24697046697809039,0.5623234758596545,0.4969612328724349,0.16802227323552,0.14129468207723767,0.5947930915186899,0.5596472477787192,0.3946360153256705,0.38271604938271603,0.3056768558951965,0.40711462450592883,0.1225296442687747,0.2766798418972332,0.6053639846743295,0.6172839506172839,0.6943231441048034,0.25060827250608275,0.10231023102310231,0.16990291262135923,1.0316205533596838,0.3201581027667984,0.9051383399209486,-8.007043001393404,-14.281560908204247,-9.998798032609434,6.853617923246693,11.318463969190395
01022001_10_47,5,lags_only,7.27234217416236,5.974741778708046,11.029889890086757,9.448684235455147,-5.724512048125728,-0.12128709869278889,-0.019333649335726132,0.1625455464998681,0.0516317942424616,0.18758647598088998,0.24819350974605078,0.2741112206389561,0.49819023449486716,0.5235563204078011,0.10433897781067678,0.119431597868899,0.5222108211758929,0.5847810242959842,0.3333333333333333,0.2903225806451613,0.31620553359683795,0.34523809523809523,0.07142857142857142,0.31746031746031744,0.6666666666666666,0.7096774193548387,0.6837944664031621,0.20422535211267606,0.060810810810810814,0.18823529411764706,1.0357142857142858,0.24603174603174602,1.003968253968254,-9.183863759601337,-15.940845293752776,-10.010666115302365,7.134408031071633,11.630387673399797
01022001_10_47,6,lags_only,7.581401987666385,5.839906868490676,11.321184183839575,9.201925027436387,-6.419495680122891,-0.21914598933399063,-0.040933712273848254,0.198175225922469,0.03077800040423744,0.21221066362004806,0.20981999537289342,0.24578507880173878,0.4580611262406944,0.4957671618832159,0.07484834600973356,0.13629271253538902,0.47024248004338404,0.5561733482653616,0.3204633204633205,0.28205128205128205,0.33064516129032256,0.3254901960784314,0.043137254901960784,0.3215686274509804,0.6795366795366795,0.717948717948718,0.6693548387096774,0.1925754060324826,0.038869257950530034,0.19477434679334918,1.0156862745098039,0.15294117647058825,0.9725490196078431,-9.27470754309629,-16.65295706585776,-9.865352832761962,7.2832706811899985,11.680692543670437
01022001_10_47,7,lags_only,8.025854046086515,5.908660105908615,11.833460348774286,9.295433603951649,-7.071177547520995,-0.16751916011348117,-0.06818757500482757,0.2135967993168443,0.012795545404268159,0.22453000299524142,0.17918960470642517,0.2594026141358389,0.4233079313058346,0.5093158294573604,0.05990940527610338,0.17347957653071103,0.42722442282054784,0.5824664728197174,0.32567049808429116,0.3076923076923077,0.3449612403100775,0.32945736434108525,0.031007751937984496,0.3449612403100775,0.6743295019157088,0.6923076923076923,0.6550387596899225,0.195852534562212,0.028985507246376812,0.20843091334894615,1.0116279069767442,0.10077519379844961,1.0,-9.46511089881919,-17.512917584550834,-9.748079488633707,7.5135249968155104,11.986838484860954
01036004_10_47,1,lags_only,5.270310215971174,6.674708276720851,9.688168184639405,11.488746050416804,-1.6048862206067191,-0.6410867515223554,-0.029952485831353518,-0.3044075396121525,0.02244310938624334,-0.15923904829636729,0.6459308315244046,0.28396718084731326,0.8036982216755268,0.5328857108680184,0.5763898066574368,0.2317040723370378,0.8630985653325378,0.7541552041463807,0.66,0.7112299465240641,0.44329896907216493,0.6573705179282868,0.5298804780876494,0.3426294820717131,0.34,0.2887700534759358,0.5567010309278351,0.49107142857142855,0.4360655737704918,0.2395543175487465,0.9960159362549801,0.7450199203187251,0.7729083665338645,-3.1889777709473752,-6.649674730674024,-10.226149316763838,5.117042085409506,9.910592700703805
01036004_10_47,2,lags_only,7.0150146205739325,7.071285008810749,12.207243312121934,11.871332733416672,-2.608111910509006,-0.5766009670821827,0.037061816715188836,0.029337683787143996,0.07729289480877427,0.10268331832662621,0.5680095761267513,0.2715405541083801,0.7536641003303468,0.5210955326121882,0.29612608809873026,0.1560703247928777,0.8337998387393096,0.6909334387075866,0.4838709677419355,0.54,0.4129353233830846,0.47619047619047616,0.32142857142857145,0.32936507936507936,0.5161290322580645,0.46,0.5870646766169154,0.3157894736842105,0.2523364485981308,0.22432432432432434,0.9841269841269841,0.5952380952380952,0.7976190476190477,-6.678573212274995,-10.590383468915345,-10.684849317799463,7.285010338507971,13.229813928431875
01036004_10_47,3,lags_only,7.781505704401276,7.350281601193863,12.885307135282408,12.066838012805754,-3.5741848690634117,-1.1083746161833323,0.05080602403015986,0.10340706765928179,0.08218296996493846,0.14048230976957418,0.5002479206287975,0.2334261191066802,0.707282065818721,0.4831419243935267,0.20445894873779,0.09576735308316435,0.7837397903634522,0.7110217507923167,0.3724696356275304,0.4715447154471545,0.3670886075949367,0.36507936507936506,0.23015873015873015,0.23015873015873015,0.6275303643724697,0.5284552845528455,0.6329113924050633,0.22604422604422605,0.1829652996845426,0.16477272727272727,0.9801587301587301,0.4880952380952381,0.626984126984127,-8.046407116865192,-12.737564083063207,-11.90601002369473,8.198014211426608,14.039080463336115
