station_id,model,horizon,condition,raw_p_value,bh_q_value,bh_reject_q_0_05,family,family_size,alpha,primary_inferential_metric
01051001_10_49,xgboost_direct,1,lags_only,0.9998,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01051001_10_49,xgboost_direct,2,lags_only,0.0158,0.04052614861032332,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01051001_10_49,xgboost_direct,3,lags_only,0.0014,0.005284474123539232,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01051001_10_49,xgboost_direct,4,lags_only,0.0001,0.0005270396270396271,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01051001_10_49,xgboost_direct,5,lags_only,0.0007,0.0029120515179392823,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01051001_10_49,xgboost_direct,6,lags_only,0.0002,0.0009819761129207384,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01051001_10_49,xgboost_direct,7,lags_only,0.0002,0.0009819761129207384,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,1,lags_only,0.1203,0.20051478068558792,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,2,lags_only,0.0011,0.004273367697594502,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,3,lags_only,0.0005,0.0021887705711519847,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,4,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,5,lags_only,0.0004,0.0018106106106106107,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,6,lags_only,0.0001,0.0005270396270396271,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,sarima,7,lags_only,0.0011,0.004273367697594502,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,1,lags_only,0.9993,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,2,lags_only,0.5466,0.639846026404349,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,3,lags_only,0.0347,0.07565737704918032,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,4,lags_only,0.0149,0.038611919770773634,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,5,lags_only,0.0001,0.0005270396270396271,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,6,lags_only,0.0001,0.0005270396270396271,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01055001_10_47,xgboost_direct,7,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,1,lags_only,0.695,0.7866808510638298,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,2,lags_only,0.0011,0.004273367697594502,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,3,lags_only,0.0078,0.02272654639175258,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,4,lags_only,0.0497,0.09953206377325066,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,5,lags_only,0.1318,0.2155513924050633,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,6,lags_only,0.5358,0.6294849571317225,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,sarima,7,lags_only,0.6215,0.7142116899618807,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,xgboost_direct,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,xgboost_direct,2,lags_only,0.1407,0.2266638403990025,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
